Name,Age,Location,Device Usage Log,Voice Command,Security Footage Description,Home Automation Setting,Network Information,Customer Service Interaction
David Petty,66,"East Adam, Moldova","{'device': 'Smart Lock', 'usage_start': '2023-10-27 14:44:52', 'usage_end': '2023-10-27 21:44:52'}",,"{'time': '2023-10-28 00:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '170.89.191.57', 'Wifi_network': 'hope', 'Device_ID': '69fb0982-cf21-4d1e-9f8a-65349d2e6610'}",The device is making a strange noise
Mary Stephens,47,"Anthonyport, Sierra Leone","{'device': 'Smart Light', 'usage_start': '2023-10-27 05:44:52', 'usage_end': '2023-10-28 04:44:52'}",,"{'time': '2023-10-27 08:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '29.32.139.250', 'Wifi_network': 'develop', 'Device_ID': '6f326c0b-a4db-4497-91d6-c0965b949b58'}",
Kristina Heath,50,"East Matthew, Mexico","{'device': 'Voice Assistant', 'usage_start': '2023-10-28 01:44:52', 'usage_end': '2023-10-27 12:44:52'}",Set an alarm for 7 AM,"{'time': '2023-10-27 05:44:52', 'activity': None}",,"{'IP_address': '158.22.204.185', 'Wifi_network': 'behind', 'Device_ID': 'de816316-c04e-4e02-9d4f-3609f9029145'}",The device is making a strange noise
Stacy Davis,45,"West Mitchell, Andorra","{'device': 'Thermostat', 'usage_start': '2023-10-27 09:44:52', 'usage_end': '2023-10-27 06:44:52'}",,"{'time': '2023-10-27 09:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '184.107.250.102', 'Wifi_network': 'admit', 'Device_ID': '1710ba77-0c83-4be1-8844-11f623c48ba9'}",Device not responding
Jacob Avila,29,"New Wanda, Falkland Islands (Malvinas)","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 07:44:52', 'usage_end': '2023-10-27 14:44:52'}",Set an alarm for 7 AM,"{'time': '2023-10-27 14:44:52', 'activity': None}",,"{'IP_address': '22.175.49.171', 'Wifi_network': 'role', 'Device_ID': 'aef64374-0b3b-45c9-8c17-ea943e881218'}",
Nancy Rivers,58,"North Jennifer, Comoros","{'device': 'Security Camera', 'usage_start': '2023-10-27 22:44:52', 'usage_end': '2023-10-27 13:44:52'}",,"{'time': '2023-10-27 20:44:52', 'activity': 'Unknown person in backyard'}",,"{'IP_address': '207.135.165.180', 'Wifi_network': 'these', 'Device_ID': '8c90852a-e9f7-475a-b762-0b1429c188ba'}",Can I add multiple users?
Christopher Lin,46,"Ericport, Haiti","{'device': 'Smart Light', 'usage_start': '2023-10-27 12:44:52', 'usage_end': '2023-10-28 04:44:52'}",,"{'time': '2023-10-28 04:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '13.216.130.100', 'Wifi_network': 'difference', 'Device_ID': '7121f537-b2b4-4ead-91ae-7cb6cf3370f0'}",Can I add multiple users?
Desiree Brown,59,"Jacobfurt, Senegal","{'device': 'Smart Light', 'usage_start': '2023-10-27 21:44:52', 'usage_end': '2023-10-28 02:44:52'}",,"{'time': '2023-10-27 21:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '213.59.182.183', 'Wifi_network': 'any', 'Device_ID': 'bd12203e-b6bd-4d32-ba6a-2654b8e9c223'}",
Meagan Jimenez,29,"East Williamshire, Marshall Islands","{'device': 'Thermostat', 'usage_start': '2023-10-27 22:44:52', 'usage_end': '2023-10-27 20:44:52'}",,"{'time': '2023-10-27 11:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '208.235.144.204', 'Wifi_network': 'rule', 'Device_ID': '0b21674d-384d-4f3a-9a51-48c621be12bf'}",Device not responding
John Marquez,72,"Lake Michelle, Guinea","{'device': 'Smart Light', 'usage_start': '2023-10-27 11:44:52', 'usage_end': '2023-10-27 12:44:52'}",,"{'time': '2023-10-27 14:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '89.84.208.182', 'Wifi_network': 'image', 'Device_ID': '6008cafb-af87-4859-92b6-85d536b516c3'}",
Kevin Walton,59,"Tammymouth, Suriname","{'device': 'Security Camera', 'usage_start': '2023-10-27 11:44:52', 'usage_end': '2023-10-27 08:44:52'}",,"{'time': '2023-10-27 21:44:52', 'activity': 'Smoke detected'}",,"{'IP_address': '35.247.223.153', 'Wifi_network': 'test', 'Device_ID': 'af95d0b5-6a64-4c7b-a135-82b598459a07'}",
Tanner Myers,44,"Courtneyberg, Marshall Islands","{'device': 'Smart Lock', 'usage_start': '2023-10-27 13:44:52', 'usage_end': '2023-10-27 08:44:52'}",,"{'time': '2023-10-27 13:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '116.130.83.199', 'Wifi_network': 'manage', 'Device_ID': '309e60a2-8594-4b22-b5b4-0c05f455eb68'}",
Michael Manning,50,"Allenbury, Norfolk Island","{'device': 'Thermostat', 'usage_start': '2023-10-28 04:44:52', 'usage_end': '2023-10-27 11:44:52'}",,"{'time': '2023-10-28 04:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '75.124.175.105', 'Wifi_network': 'capital', 'Device_ID': '861a9dc7-775c-4421-a121-46a744650ccb'}",
Curtis Smith,64,"Lake Michellechester, Swaziland","{'device': 'Thermostat', 'usage_start': '2023-10-27 11:44:52', 'usage_end': '2023-10-28 00:44:52'}",,"{'time': '2023-10-27 15:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '77.114.56.185', 'Wifi_network': 'quickly', 'Device_ID': '06ce9c61-431d-4efa-953d-1cbd3212af3b'}",
Matthew Mccormick,56,"Seanview, Barbados","{'device': 'Smart Lock', 'usage_start': '2023-10-27 07:44:52', 'usage_end': '2023-10-27 21:44:52'}",,"{'time': '2023-10-28 04:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '141.139.20.57', 'Wifi_network': 'power', 'Device_ID': 'a6e24507-ffa3-4b63-8463-d62c5c3f60ee'}",Can I add multiple users?
Joseph Tucker,57,"Port Marissa, Saudi Arabia","{'device': 'Security Camera', 'usage_start': '2023-10-27 05:44:52', 'usage_end': '2023-10-27 12:44:52'}",,"{'time': '2023-10-27 13:44:52', 'activity': 'Window broken'}",,"{'IP_address': '197.170.251.179', 'Wifi_network': 'media', 'Device_ID': '8915e65d-6a07-444e-b47b-5a6206efbaab'}",
Adam Martin,61,"Lake Susanmouth, Antigua and Barbuda","{'device': 'Smart Light', 'usage_start': '2023-10-27 05:44:52', 'usage_end': '2023-10-27 18:44:52'}",,"{'time': '2023-10-27 06:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '84.12.184.65', 'Wifi_network': 'agent', 'Device_ID': '349f13ed-1cb1-44af-a59b-f3205177a2b3'}",Device not responding
Jeffrey Park,41,"Bruceland, Bosnia and Herzegovina","{'device': 'Thermostat', 'usage_start': '2023-10-27 09:44:52', 'usage_end': '2023-10-27 13:44:52'}",,"{'time': '2023-10-27 05:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '145.117.113.51', 'Wifi_network': 'nice', 'Device_ID': '98f4d1dc-32e7-4cb1-ba1f-3f7677412234'}",Device not responding
Anthony Moore,67,"Dannyfort, Romania","{'device': 'Smart Lock', 'usage_start': '2023-10-27 08:44:52', 'usage_end': '2023-10-27 20:44:52'}",,"{'time': '2023-10-27 17:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '179.78.179.52', 'Wifi_network': 'town', 'Device_ID': 'd98fa23d-2898-4dd1-b4ed-eb534f72b86e'}",
Jennifer Stewart,48,"Hilltown, Bhutan","{'device': 'Thermostat', 'usage_start': '2023-10-28 00:44:52', 'usage_end': '2023-10-27 17:44:52'}",,"{'time': '2023-10-28 02:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '184.25.83.57', 'Wifi_network': 'who', 'Device_ID': 'bc11a3a7-3c0a-4b12-b6a7-6587c8dea8ca'}",Can I add multiple users?
Thomas Logan,53,"Brooksland, United Kingdom","{'device': 'Thermostat', 'usage_start': '2023-10-27 19:44:52', 'usage_end': '2023-10-27 22:44:52'}",,"{'time': '2023-10-27 15:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '52.91.186.11', 'Wifi_network': 'effect', 'Device_ID': 'b01e159f-006a-4406-961a-f9ac945a04ba'}",
Jennifer Willis,65,"Smithchester, Estonia","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 18:44:52', 'usage_end': '2023-10-27 17:44:52'}",Turn off the living room light,"{'time': '2023-10-28 00:44:52', 'activity': None}",,"{'IP_address': '125.206.38.81', 'Wifi_network': 'save', 'Device_ID': 'ad7b0626-8021-4565-9d59-2b1a614aaeb0'}",Device not responding
Catherine Strickland,18,"New Francesfurt, Equatorial Guinea","{'device': 'Smart Lock', 'usage_start': '2023-10-27 18:44:52', 'usage_end': '2023-10-27 23:44:52'}",,"{'time': '2023-10-27 16:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '102.128.67.237', 'Wifi_network': 'threat', 'Device_ID': '3ec7ded7-c542-42c5-8b75-df427ef849f4'}",Can I add multiple users?
Jo Hughes,68,"Lawsonport, Nauru","{'device': 'Smart Lock', 'usage_start': '2023-10-27 10:44:52', 'usage_end': '2023-10-28 04:44:52'}",,"{'time': '2023-10-27 08:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '97.45.194.135', 'Wifi_network': 'natural', 'Device_ID': 'd2d2a94e-c905-4907-ba0e-fcaf54fee74e'}",
Brian Smith,73,"Kaitlynmouth, Bouvet Island (Bouvetoya)","{'device': 'Voice Assistant', 'usage_start': '2023-10-28 04:44:52', 'usage_end': '2023-10-27 12:44:52'}",Play music,"{'time': '2023-10-27 12:44:52', 'activity': None}",,"{'IP_address': '165.12.22.208', 'Wifi_network': 'various', 'Device_ID': 'ed914625-9823-40cb-8f7b-b2bd936388fd'}",
Robert Mccarthy,70,"East Patrickside, Vanuatu","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 07:44:52', 'usage_end': '2023-10-27 12:44:52'}",What’s the weather?,"{'time': '2023-10-27 10:44:52', 'activity': None}",,"{'IP_address': '49.49.240.44', 'Wifi_network': 'weight', 'Device_ID': 'ea2b45be-a6fa-4c7c-baec-c7b2f0ae94fc'}",Device not responding
Adam Reese,38,"North Billytown, American Samoa","{'device': 'Smart Light', 'usage_start': '2023-10-28 00:44:52', 'usage_end': '2023-10-28 02:44:52'}",,"{'time': '2023-10-27 08:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '98.14.169.31', 'Wifi_network': 'stage', 'Device_ID': '49680710-18b0-4f00-80ba-5517329c5b27'}",The device is making a strange noise
Justin Simmons,62,"Brendaberg, Poland","{'device': 'Security Camera', 'usage_start': '2023-10-27 11:44:52', 'usage_end': '2023-10-28 01:44:52'}",,"{'time': '2023-10-27 10:44:52', 'activity': 'Motion in living room at night'}",,"{'IP_address': '165.78.200.71', 'Wifi_network': 'ten', 'Device_ID': '5b622b8c-09a1-40e4-beeb-a89382e05e5e'}",Can I add multiple users?
Erika Kim,57,"East Samantha, Vietnam","{'device': 'Thermostat', 'usage_start': '2023-10-27 09:44:52', 'usage_end': '2023-10-27 17:44:52'}",,"{'time': '2023-10-27 23:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '18.62.216.46', 'Wifi_network': 'project', 'Device_ID': '4ced9a3b-be78-4db6-9b90-e2ebad4037cd'}",
Joseph Smith,70,"Avilaborough, Palestinian Territory","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 21:44:52', 'usage_end': '2023-10-28 05:44:52'}",Read my notifications,"{'time': '2023-10-27 07:44:52', 'activity': None}",,"{'IP_address': '143.196.244.63', 'Wifi_network': 'dream', 'Device_ID': 'a22ff4e2-e8a4-498c-ad3c-aa4ec03850be'}",How do I set up voice recognition?
Heidi Morgan,40,"Rebeccaview, Nicaragua","{'device': 'Thermostat', 'usage_start': '2023-10-28 05:44:52', 'usage_end': '2023-10-27 23:44:52'}",,"{'time': '2023-10-27 16:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '143.126.137.9', 'Wifi_network': 'control', 'Device_ID': '6ee210c4-be17-461e-ab9f-087270819306'}",
Anthony Chan,28,"Andrewtown, Equatorial Guinea","{'device': 'Smart Light', 'usage_start': '2023-10-27 13:44:52', 'usage_end': '2023-10-28 02:44:52'}",,"{'time': '2023-10-27 10:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '27.234.3.55', 'Wifi_network': 'nearly', 'Device_ID': 'f13098be-b2ae-441a-893d-c3c21471f9ae'}",The device is making a strange noise
Timothy Johnson DDS,50,"Port Christopher, Sri Lanka","{'device': 'Security Camera', 'usage_start': '2023-10-27 17:44:52', 'usage_end': '2023-10-27 13:44:52'}",,"{'time': '2023-10-27 20:44:52', 'activity': 'Opened front door'}",,"{'IP_address': '153.214.149.69', 'Wifi_network': 'quite', 'Device_ID': '1dc2d372-8196-4de0-96f9-fa90d9214f34'}",
Sarah Carter,68,"Melissaborough, Anguilla","{'device': 'Smart Light', 'usage_start': '2023-10-27 20:44:52', 'usage_end': '2023-10-28 03:44:52'}",,"{'time': '2023-10-27 09:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '157.128.152.229', 'Wifi_network': 'recent', 'Device_ID': 'f57bf7ec-eb6c-45ad-af78-71713b4b3a56'}",
Jeremy Booth,54,"Port Brooke, Cuba","{'device': 'Thermostat', 'usage_start': '2023-10-27 14:44:52', 'usage_end': '2023-10-28 01:44:52'}",,"{'time': '2023-10-27 11:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '76.240.88.236', 'Wifi_network': 'example', 'Device_ID': '39e38b96-758d-47cf-944a-d7e7533b72d0'}",How do I set up voice recognition?
Andrew Anderson,41,"New Billchester, French Guiana","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 23:44:52', 'usage_end': '2023-10-27 08:44:52'}",Turn off the living room light,"{'time': '2023-10-27 17:44:52', 'activity': None}",,"{'IP_address': '87.131.25.228', 'Wifi_network': 'kid', 'Device_ID': '09f78b72-b36b-4729-8be6-035d22658ac9'}",Device not responding
Christian Williams,60,"Amberchester, Maldives","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 18:44:52', 'usage_end': '2023-10-27 14:44:52'}",Read my notifications,"{'time': '2023-10-27 15:44:52', 'activity': None}",,"{'IP_address': '213.86.31.154', 'Wifi_network': 'degree', 'Device_ID': '7ae00504-1971-44e7-bb00-8edc09933e19'}",
William David,70,"Michaelberg, Guernsey","{'device': 'Thermostat', 'usage_start': '2023-10-27 22:44:52', 'usage_end': '2023-10-27 10:44:52'}",,"{'time': '2023-10-27 20:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '107.227.166.208', 'Wifi_network': 'also', 'Device_ID': '65cd819b-705b-4171-8815-c6b3fcfc3a5b'}",Can I add multiple users?
David Wiggins,65,"Lake Madisonmouth, Papua New Guinea","{'device': 'Smart Lock', 'usage_start': '2023-10-27 06:44:52', 'usage_end': '2023-10-28 04:44:52'}",,"{'time': '2023-10-27 22:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '202.201.103.209', 'Wifi_network': 'relationship', 'Device_ID': 'e86ac828-82bc-48bc-bf6e-5bed178814b1'}",
Jessica Johnson,62,"Teresamouth, Niger","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 20:44:52', 'usage_end': '2023-10-27 11:44:52'}",What’s the weather?,"{'time': '2023-10-27 06:44:52', 'activity': None}",,"{'IP_address': '39.55.192.98', 'Wifi_network': 'lead', 'Device_ID': 'bab44b12-4ad0-480f-8640-9faeb8dd3138'}",How do I set up voice recognition?
Ryan Garrett,43,"West Brianbury, Australia","{'device': 'Thermostat', 'usage_start': '2023-10-27 12:44:52', 'usage_end': '2023-10-28 01:44:52'}",,"{'time': '2023-10-27 10:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '135.43.46.6', 'Wifi_network': 'add', 'Device_ID': '32ae4672-a50b-4b5f-be6e-5ae11a557fa6'}",
Robert Nguyen,50,"East Katelyn, Switzerland","{'device': 'Thermostat', 'usage_start': '2023-10-28 05:44:52', 'usage_end': '2023-10-27 12:44:52'}",,"{'time': '2023-10-28 02:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '100.12.208.243', 'Wifi_network': 'anything', 'Device_ID': '1cbf9164-3e47-4c8e-b9ad-8c9d3b94182d'}",
Edward Taylor,40,"Rhondaton, Fiji","{'device': 'Security Camera', 'usage_start': '2023-10-27 13:44:52', 'usage_end': '2023-10-28 03:44:52'}",,"{'time': '2023-10-27 10:44:52', 'activity': 'Unknown person in backyard'}",,"{'IP_address': '152.89.118.209', 'Wifi_network': 'leave', 'Device_ID': '9f27649b-7878-4d2b-8ad4-e69ff9f90cfc'}",
Jonathan Rogers,62,"North Susanville, Sao Tome and Principe","{'device': 'Security Camera', 'usage_start': '2023-10-28 05:44:52', 'usage_end': '2023-10-27 10:44:52'}",,"{'time': '2023-10-27 14:44:52', 'activity': 'Window broken'}",,"{'IP_address': '158.229.163.216', 'Wifi_network': 'hour', 'Device_ID': '3a024f4d-4c69-4b93-8925-f4ff3384ddc8'}",The device is making a strange noise
Kevin Black,68,"Richardmouth, Cuba","{'device': 'Smart Light', 'usage_start': '2023-10-27 11:44:52', 'usage_end': '2023-10-27 14:44:52'}",,"{'time': '2023-10-27 15:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '77.198.228.182', 'Wifi_network': 'generation', 'Device_ID': '8c1373e4-2366-48af-b7a3-4538dafa59c2'}",
Gregory Reed MD,50,"West Anthony, Cocos (Keeling) Islands","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 18:44:52', 'usage_end': '2023-10-28 00:44:52'}",What’s the weather?,"{'time': '2023-10-27 23:44:52', 'activity': None}",,"{'IP_address': '124.43.173.52', 'Wifi_network': 'their', 'Device_ID': '4c395ea6-f99d-4bca-8596-b828fb08d9c1'}",
Barry Lawrence,37,"Roachberg, Greenland","{'device': 'Smart Light', 'usage_start': '2023-10-28 00:44:52', 'usage_end': '2023-10-28 03:44:52'}",,"{'time': '2023-10-28 02:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '154.4.213.250', 'Wifi_network': 'when', 'Device_ID': '2a33c6c8-1af8-4d57-a09f-d763a40ca65b'}",
George Lewis,27,"Brandifort, Netherlands","{'device': 'Smart Light', 'usage_start': '2023-10-27 05:44:52', 'usage_end': '2023-10-27 17:44:52'}",,"{'time': '2023-10-27 20:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '213.152.114.62', 'Wifi_network': 'structure', 'Device_ID': '0765de19-a2e1-43c4-ad9e-52c5e9e88b98'}",
Jose Parrish,54,"Hillton, United States Virgin Islands","{'device': 'Thermostat', 'usage_start': '2023-10-27 14:44:52', 'usage_end': '2023-10-27 10:44:52'}",,"{'time': '2023-10-27 15:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '134.40.202.249', 'Wifi_network': 'example', 'Device_ID': 'fd749b8b-c182-4c0e-9e57-098fe76dce6f'}",
Andrew Green,41,"Lake Luis, United Kingdom","{'device': 'Smart Light', 'usage_start': '2023-10-27 05:44:52', 'usage_end': '2023-10-28 01:44:52'}",,"{'time': '2023-10-28 05:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '149.203.188.93', 'Wifi_network': 'family', 'Device_ID': 'e6c8fc4b-0a58-4503-a5c5-9f46650149ef'}",The device is making a strange noise
Kathryn Watson,49,"Jesseport, Belgium","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 07:44:52', 'usage_end': '2023-10-28 00:44:52'}",Play music,"{'time': '2023-10-27 15:44:52', 'activity': None}",,"{'IP_address': '53.148.2.55', 'Wifi_network': 'party', 'Device_ID': 'b2fb0aac-4550-4128-9f71-23096fdee3cf'}",
Joshua Dodson,32,"Randyview, American Samoa","{'device': 'Smart Lock', 'usage_start': '2023-10-27 06:44:52', 'usage_end': '2023-10-27 18:44:52'}",,"{'time': '2023-10-27 11:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '108.13.38.240', 'Wifi_network': 'easy', 'Device_ID': '30fd6917-86d5-4210-9913-d6784f0fcfdc'}",Can I add multiple users?
Alyssa Parker,33,"Gibsonmouth, Swaziland","{'device': 'Smart Light', 'usage_start': '2023-10-27 07:44:52', 'usage_end': '2023-10-28 00:44:52'}",,"{'time': '2023-10-27 12:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '209.117.182.223', 'Wifi_network': 'camera', 'Device_ID': '2ecb027a-44e5-4aed-ae04-b0312fc12cd1'}",
Jerry Silva,34,"New Frederickbury, Kyrgyz Republic","{'device': 'Security Camera', 'usage_start': '2023-10-27 12:44:52', 'usage_end': '2023-10-27 12:44:52'}",,"{'time': '2023-10-27 13:44:52', 'activity': 'Window broken'}",,"{'IP_address': '70.124.18.121', 'Wifi_network': 'store', 'Device_ID': '23bec497-36cb-4d03-9dce-11905d6bb413'}",Device not responding
Todd Adams,18,"North Autumntown, Guyana","{'device': 'Voice Assistant', 'usage_start': '2023-10-28 01:44:52', 'usage_end': '2023-10-27 16:44:52'}",Set an alarm for 7 AM,"{'time': '2023-10-28 04:44:52', 'activity': None}",,"{'IP_address': '211.215.44.101', 'Wifi_network': 'carry', 'Device_ID': 'c610b75c-b5fd-4868-90a6-226050211b2e'}",
Ryan Hernandez MD,63,"Lake Stephen, Switzerland","{'device': 'Smart Lock', 'usage_start': '2023-10-27 11:44:52', 'usage_end': '2023-10-27 13:44:52'}",,"{'time': '2023-10-27 16:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '97.65.51.41', 'Wifi_network': 'listen', 'Device_ID': 'cea01ec6-6cf4-43e5-8f1c-efb88b425a5b'}",
William Hill DDS,59,"Goodville, Afghanistan","{'device': 'Smart Lock', 'usage_start': '2023-10-27 08:44:52', 'usage_end': '2023-10-27 22:44:52'}",,"{'time': '2023-10-27 11:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '128.109.216.207', 'Wifi_network': 'measure', 'Device_ID': '92fb4e0f-63dd-48bf-86a1-e59b669defb2'}",
Laura Welch,63,"Wandaview, Ecuador","{'device': 'Voice Assistant', 'usage_start': '2023-10-28 02:44:52', 'usage_end': '2023-10-27 17:44:52'}",Play music,"{'time': '2023-10-27 06:44:52', 'activity': None}",,"{'IP_address': '205.1.190.173', 'Wifi_network': 'adult', 'Device_ID': '300c3507-73ed-4645-b493-184ce4809b4d'}",
Geoffrey Miles,72,"Jessicaton, Bouvet Island (Bouvetoya)","{'device': 'Smart Light', 'usage_start': '2023-10-27 18:44:52', 'usage_end': '2023-10-27 17:44:52'}",,"{'time': '2023-10-28 03:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '49.137.100.156', 'Wifi_network': 'manager', 'Device_ID': 'e66a2870-99ff-4850-af48-7e6dac64188d'}",Device not responding
Christina Zimmerman,49,"East Alexandra, Cambodia","{'device': 'Smart Lock', 'usage_start': '2023-10-28 03:44:52', 'usage_end': '2023-10-28 01:44:52'}",,"{'time': '2023-10-27 15:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '185.236.74.161', 'Wifi_network': 'population', 'Device_ID': 'a13bbb04-1554-44e3-9403-4b001d746d03'}",
William Bradford,75,"East Jean, Pakistan","{'device': 'Thermostat', 'usage_start': '2023-10-27 10:44:52', 'usage_end': '2023-10-28 05:44:52'}",,"{'time': '2023-10-27 19:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '186.98.48.118', 'Wifi_network': 'cup', 'Device_ID': 'ef85c0bd-121f-4828-8e32-0fb212a25c3c'}",
Barbara Nguyen,24,"Amandaville, Timor-Leste","{'device': 'Smart Light', 'usage_start': '2023-10-27 15:44:52', 'usage_end': '2023-10-27 17:44:52'}",,"{'time': '2023-10-27 13:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '125.255.68.34', 'Wifi_network': 'practice', 'Device_ID': 'a5b2703e-0474-49da-a2c2-c5e45ee6cce5'}",How do I set up voice recognition?
Lauren Baker,21,"Chadmouth, Namibia","{'device': 'Thermostat', 'usage_start': '2023-10-27 15:44:52', 'usage_end': '2023-10-28 04:44:52'}",,"{'time': '2023-10-27 17:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '64.47.116.226', 'Wifi_network': 'expert', 'Device_ID': '0cc486a5-6828-4e01-b5ec-65cbc01abbd3'}",Device not responding
William Flores,35,"Port Christinamouth, Chad","{'device': 'Smart Light', 'usage_start': '2023-10-27 07:44:52', 'usage_end': '2023-10-27 23:44:52'}",,"{'time': '2023-10-27 19:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '150.227.22.231', 'Wifi_network': 'person', 'Device_ID': '8ff71828-f187-444a-9e50-019979f1f78b'}",
Sarah Bridges,33,"South Austin, Bosnia and Herzegovina","{'device': 'Smart Light', 'usage_start': '2023-10-27 21:44:52', 'usage_end': '2023-10-27 15:44:52'}",,"{'time': '2023-10-27 06:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '189.127.53.241', 'Wifi_network': 'bill', 'Device_ID': 'b5a0888c-6454-41cd-8240-5bbf8172bb8a'}",The device is making a strange noise
Wesley Arnold,61,"North Stephanietown, Azerbaijan","{'device': 'Smart Lock', 'usage_start': '2023-10-28 05:44:52', 'usage_end': '2023-10-27 13:44:52'}",,"{'time': '2023-10-27 14:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '203.24.166.82', 'Wifi_network': 'high', 'Device_ID': '34659d54-ec68-418d-9cec-2bcc5fe429cf'}",How do I set up voice recognition?
Christina Flores,54,"East Michaelstad, Botswana","{'device': 'Security Camera', 'usage_start': '2023-10-27 07:44:52', 'usage_end': '2023-10-27 20:44:52'}",,"{'time': '2023-10-28 01:44:52', 'activity': 'Motion in living room at night'}",,"{'IP_address': '77.158.155.9', 'Wifi_network': 'month', 'Device_ID': '21e6d895-7771-4448-a6a2-62de62cabc5d'}",Can I add multiple users?
Patricia Estrada,55,"Lake Karen, Colombia","{'device': 'Thermostat', 'usage_start': '2023-10-28 04:44:52', 'usage_end': '2023-10-27 18:44:52'}",,"{'time': '2023-10-27 12:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '189.110.44.167', 'Wifi_network': 'continue', 'Device_ID': 'c30e742f-0890-4334-a4a2-fcb8b2c86ec8'}",The device is making a strange noise
Dakota Holland,75,"South Christopherfort, Fiji","{'device': 'Thermostat', 'usage_start': '2023-10-27 23:44:52', 'usage_end': '2023-10-27 22:44:52'}",,"{'time': '2023-10-27 19:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '165.12.73.241', 'Wifi_network': 'option', 'Device_ID': '2bbdaa27-a6fa-46f4-b524-54252291dc8a'}",
Marvin Johnston,42,"Port Jessicaborough, Jersey","{'device': 'Smart Lock', 'usage_start': '2023-10-27 09:44:52', 'usage_end': '2023-10-27 15:44:52'}",,"{'time': '2023-10-27 19:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '59.248.138.98', 'Wifi_network': 'I', 'Device_ID': '4b7b5753-48af-4b59-b6a0-d31f30a11f18'}",
Sara Weaver,60,"Lake Dwaynehaven, Namibia","{'device': 'Security Camera', 'usage_start': '2023-10-28 03:44:52', 'usage_end': '2023-10-27 14:44:52'}",,"{'time': '2023-10-28 05:44:52', 'activity': 'Smoke detected'}",,"{'IP_address': '37.196.36.185', 'Wifi_network': 'sense', 'Device_ID': 'eacf0d72-8f10-40a4-8739-183fb1fafe39'}",
Elizabeth Gibson,29,"Lloydbury, Central African Republic","{'device': 'Smart Lock', 'usage_start': '2023-10-27 16:44:52', 'usage_end': '2023-10-27 08:44:52'}",,"{'time': '2023-10-27 20:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '44.159.113.93', 'Wifi_network': 'since', 'Device_ID': '3bd4e1fc-5635-46f7-9332-ac4be40bde63'}",
