Name,Age,Location,Gender,Income,Assets,Debts,Monthly Expenses,Investment Preference,Type of Advice Sought,User Financial Goal,Action Based on Advice,Feedback on Advice,App Usability Feedback,Trust Level with Digital Advisor
Tina Sampson,26,"East Meganfort, Chad",Female,3463.01,65975.96,3295.5,1677.08,Mutual Funds,Retirement Planning,Retirement Fund Building,Implemented,Neutral,Very Unsatisfied,Moderate
Gabrielle Rogers,59,"Meghanstad, Guinea-Bissau",Male,4391.47,11137.71,4275.97,4188.2,Gold,Investment Strategy,Retirement Fund Building,Implemented,Satisfied,Very Satisfied,Moderate
Joseph Hamilton,43,"North Anna, Uzbekistan",Male,7735.62,74349.69,750.34,1872.87,Stocks,Debt Management,Retirement Fund Building,Seeking Further Consultation,Satisfied,Satisfied,High
Jason Riddle,70,"Beckerland, Mauritius",Male,3428.64,13087.78,0.0,2035.45,Gold,Investment Strategy,Retirement Fund Building,Partially Implemented,Very Unsatisfied,Satisfied,Moderate
John Smith,39,"Joshuachester, Croatia",Non-binary,6885.5,18774.83,2443.34,1172.34,Real Estate,Debt Management,Tax Savings,Partially Implemented,Neutral,Unsatisfied,Low
Dana Morris,27,"Lake Victoriamouth, United States Virgin Islands",Non-binary,8836.2,39186.69,0.0,2721.25,Stocks,Debt Management,Debt Reduction,Partially Implemented,Unsatisfied,Satisfied,High
Kent Williams,60,"Gonzalesmouth, Belgium",Female,9154.01,14749.96,1550.32,4155.05,Gold,Debt Management,Tax Savings,Implemented,Very Unsatisfied,Satisfied,High
Stephanie Knox MD,35,"Johnsonport, Haiti",Non-binary,8662.24,27567.09,0.0,605.22,Cryptocurrency,Investment Strategy,Increase Savings,Seeking Further Consultation,Very Unsatisfied,Satisfied,Low
Marilyn Gordon,18,"West Kimberly, Russian Federation",Male,5639.23,25508.9,0.0,3625.9,Stocks,Savings Plan,Debt Reduction,Not Implemented,Very Unsatisfied,Neutral,High
Ashley Sims,67,"Port Robert, Isle of Man",Male,4575.72,61260.31,0.0,4710.64,Bonds,Retirement Planning,High ROI Investments,Implemented,Very Satisfied,Unsatisfied,Moderate
Julie Byrd,68,"Lake Williamshire, Gibraltar",Non-binary,2154.01,62081.26,0.0,2810.5,Real Estate,Retirement Planning,Debt Reduction,Not Implemented,Unsatisfied,Very Satisfied,Low
David Wood,51,"Jamiemouth, Reunion",Non-binary,7541.8,11136.24,14.92,2077.64,Mutual Funds,Tax Planning,Debt Reduction,Not Implemented,Very Satisfied,Neutral,High
Robert Anderson,47,"Christinachester, Burkina Faso",Male,2034.97,40904.41,2000.12,1180.76,Bonds,Savings Plan,High ROI Investments,Implemented,Neutral,Neutral,Low
Michael Choi,20,"Olsonbury, Jersey",Female,8246.07,88981.1,2550.52,885.56,Cryptocurrency,Debt Management,Debt Reduction,Implemented,Unsatisfied,Unsatisfied,Low
Sheila Smith,28,"Jaimeborough, Gibraltar",Male,9243.59,68793.67,0.0,1624.53,Fixed Deposits,Tax Planning,Tax Savings,Partially Implemented,Satisfied,Very Unsatisfied,Low
Wanda Henderson,43,"Tracystad, Botswana",Female,5605.58,69578.7,681.92,1999.81,Stocks,Retirement Planning,Increase Savings,Implemented,Unsatisfied,Very Unsatisfied,Low
Angela Wright,69,"North Dennis, Faroe Islands",Male,2082.32,57033.74,0.0,1127.46,Stocks,Retirement Planning,Retirement Fund Building,Not Implemented,Very Unsatisfied,Neutral,High
Paul Brown,19,"Leville, Timor-Leste",Female,2924.43,90019.26,0.0,1619.02,Mutual Funds,Investment Strategy,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Satisfied,High
Philip Herrera,55,"Marthaport, Mozambique",Female,3086.39,23263.34,0.0,4005.45,Real Estate,Debt Management,Retirement Fund Building,Implemented,Unsatisfied,Unsatisfied,High
Kelly Clark,28,"Port Christie, Niger",Female,4179.71,44871.9,0.0,3638.38,Real Estate,Savings Plan,Retirement Fund Building,Implemented,Neutral,Satisfied,High
Tristan Lawson,44,"Martinezfort, Poland",Male,6300.59,33700.8,0.0,3227.74,Fixed Deposits,Savings Plan,High ROI Investments,Partially Implemented,Very Satisfied,Very Unsatisfied,High
Natasha Taylor,62,"Nicholaschester, Yemen",Non-binary,9489.81,54068.18,0.0,1159.58,Real Estate,Retirement Planning,High ROI Investments,Implemented,Unsatisfied,Neutral,High
Carrie Ward,66,"West Heather, Latvia",Female,4221.38,56414.27,1647.91,1131.89,Cryptocurrency,Investment Strategy,Tax Savings,Seeking Further Consultation,Neutral,Very Unsatisfied,High
Stephanie Knapp,49,"North Patriciaport, Rwanda",Female,3580.25,56083.11,0.0,2141.66,Cryptocurrency,Investment Strategy,Retirement Fund Building,Seeking Further Consultation,Neutral,Satisfied,Moderate
Nathan Ross,67,"New Sarah, Russian Federation",Male,2078.14,6761.16,1494.37,1951.19,Gold,Tax Planning,High ROI Investments,Partially Implemented,Neutral,Neutral,Low
Sherri Anderson,39,"Allenton, Nauru",Male,2810.93,39399.95,0.0,1372.6,Fixed Deposits,Debt Management,High ROI Investments,Seeking Further Consultation,Satisfied,Neutral,Moderate
Steven Cook,52,"Lake Melindafort, Kyrgyz Republic",Female,3894.59,18045.45,2495.06,3184.34,Gold,Investment Strategy,Debt Reduction,Implemented,Very Satisfied,Very Satisfied,Moderate
Olivia Cordova,40,"Tiffanyton, Kuwait",Male,6953.64,54389.96,484.72,4047.46,Mutual Funds,Tax Planning,Retirement Fund Building,Partially Implemented,Neutral,Unsatisfied,Low
Roger Perez,62,"North Justin, Germany",Non-binary,7884.96,95055.32,4595.68,3269.55,Bonds,Debt Management,High ROI Investments,Not Implemented,Very Unsatisfied,Satisfied,Moderate
Tammy Young,30,"Taylorbury, Canada",Non-binary,8836.4,76884.37,2254.44,960.43,Real Estate,Investment Strategy,Debt Reduction,Partially Implemented,Unsatisfied,Satisfied,High
Michael Anderson,35,"Vanessaton, Isle of Man",Male,5094.41,55329.83,0.0,1205.27,Real Estate,Savings Plan,Debt Reduction,Implemented,Neutral,Neutral,Low
Peter Marks,52,"Port Kylechester, Haiti",Female,3824.09,16466.08,0.0,1447.98,Gold,Investment Strategy,High ROI Investments,Implemented,Very Unsatisfied,Satisfied,Low
Mrs. Leah Mcfarland,41,"Baileystad, Cayman Islands",Non-binary,4795.02,46178.22,0.0,4450.07,Bonds,Retirement Planning,Increase Savings,Partially Implemented,Unsatisfied,Unsatisfied,Moderate
Jenna Fernandez,49,"South Alison, Slovenia",Non-binary,4123.54,51111.82,926.1,2329.66,Mutual Funds,Savings Plan,Debt Reduction,Seeking Further Consultation,Very Satisfied,Very Satisfied,Low
Renee Costa,34,"West Denisebury, Namibia",Female,5694.45,74442.76,0.0,1785.89,Mutual Funds,Investment Strategy,Increase Savings,Not Implemented,Very Unsatisfied,Very Unsatisfied,Moderate
David Boyd,52,"New Erica, Colombia",Female,4904.28,23991.11,3827.76,4644.33,Fixed Deposits,Retirement Planning,Debt Reduction,Implemented,Very Unsatisfied,Satisfied,Moderate
Robert Daniels,45,"East Brenda, Taiwan",Male,7984.32,11946.86,0.0,3888.52,Fixed Deposits,Retirement Planning,Debt Reduction,Partially Implemented,Very Unsatisfied,Satisfied,Low
Larry Mendoza,41,"Wilsonberg, Micronesia",Non-binary,4367.9,60308.51,4906.31,2600.31,Mutual Funds,Investment Strategy,Tax Savings,Implemented,Very Satisfied,Unsatisfied,High
Kathryn Gutierrez,56,"South Elizabethberg, Saudi Arabia",Male,5980.48,96527.28,0.0,1279.2,Stocks,Retirement Planning,High ROI Investments,Not Implemented,Neutral,Unsatisfied,Low
Kelly Gordon,39,"Lake Jesustown, Cambodia",Male,4396.87,33768.84,0.0,2438.36,Gold,Investment Strategy,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Very Satisfied,Low
Jennifer Martin,37,"Debbieland, Pakistan",Male,9751.77,27708.75,4321.91,1573.22,Bonds,Investment Strategy,Increase Savings,Partially Implemented,Very Satisfied,Satisfied,Moderate
Brandi English,28,"North Matthewstad, Netherlands Antilles",Female,9557.18,6180.05,4616.32,3420.5,Bonds,Savings Plan,Debt Reduction,Implemented,Neutral,Very Unsatisfied,Low
Tonya Morris,66,"South Crystalhaven, Tokelau",Male,9776.95,38312.15,398.11,4459.41,Stocks,Tax Planning,Debt Reduction,Implemented,Very Satisfied,Very Unsatisfied,Low
Scott Edwards,41,"Deniseville, San Marino",Male,5919.81,93531.85,0.0,2882.9,Gold,Retirement Planning,High ROI Investments,Not Implemented,Satisfied,Neutral,Moderate
Aaron Everett,68,"Lake Stevenberg, Niue",Non-binary,4215.05,41602.34,3370.26,4125.59,Cryptocurrency,Retirement Planning,Debt Reduction,Seeking Further Consultation,Satisfied,Neutral,Moderate
Daniel Watson,37,"Davidburgh, Faroe Islands",Male,8930.96,61477.64,551.65,4988.79,Mutual Funds,Debt Management,Increase Savings,Seeking Further Consultation,Satisfied,Unsatisfied,Moderate
Sheila Williams,51,"Katherinemouth, Cocos (Keeling) Islands",Female,7226.47,55821.97,0.0,2679.43,Cryptocurrency,Retirement Planning,Debt Reduction,Implemented,Unsatisfied,Satisfied,Moderate
Todd Bradley,46,"East Joshuaborough, Turkey",Non-binary,7630.79,95071.07,0.0,3153.46,Stocks,Retirement Planning,Increase Savings,Not Implemented,Very Unsatisfied,Satisfied,Moderate
Matthew Rogers,23,"Michaelside, American Samoa",Male,7979.29,57371.05,0.0,1872.13,Fixed Deposits,Retirement Planning,High ROI Investments,Implemented,Unsatisfied,Neutral,High
Darius Thompson,55,"Port Patricia, India",Non-binary,6498.26,93767.01,0.0,2791.99,Mutual Funds,Retirement Planning,Tax Savings,Partially Implemented,Satisfied,Satisfied,Low
William Hunt,59,"South Jamesmouth, Mauritania",Female,8468.8,91680.51,3726.77,4470.91,Stocks,Savings Plan,Increase Savings,Implemented,Unsatisfied,Very Unsatisfied,High
Adam Gibson,37,"Kellybury, Liechtenstein",Male,4742.93,98010.46,0.0,4142.62,Real Estate,Investment Strategy,High ROI Investments,Partially Implemented,Unsatisfied,Satisfied,High
Dillon Ray,67,"South Jeffreyhaven, Eritrea",Female,4755.29,47947.54,3871.69,2236.98,Fixed Deposits,Retirement Planning,Retirement Fund Building,Implemented,Very Satisfied,Very Satisfied,Low
Jeremiah Liu,26,"Briggsport, Italy",Non-binary,3302.2,23937.18,512.34,1702.21,Gold,Retirement Planning,Increase Savings,Implemented,Very Unsatisfied,Unsatisfied,Low
James Mcgee,27,"Tinatown, Saudi Arabia",Female,7929.61,36569.49,3201.92,4078.69,Real Estate,Investment Strategy,Increase Savings,Seeking Further Consultation,Unsatisfied,Very Unsatisfied,Low
Janice Ortega,39,"South Paul, Faroe Islands",Female,6221.76,15885.94,2310.16,2575.01,Real Estate,Debt Management,High ROI Investments,Partially Implemented,Very Satisfied,Satisfied,Low
Brandon Boyle,53,"Brettland, Andorra",Male,2180.83,41684.7,0.0,2858.34,Fixed Deposits,Savings Plan,Debt Reduction,Partially Implemented,Very Unsatisfied,Unsatisfied,High
Carlos Green,24,"Johnsonburgh, Micronesia",Male,7110.96,42309.12,2964.44,1685.36,Stocks,Debt Management,Retirement Fund Building,Not Implemented,Neutral,Unsatisfied,Low
Wesley Johnston MD,23,"Ortizmouth, Norfolk Island",Non-binary,3141.83,74237.1,0.0,2458.47,Cryptocurrency,Retirement Planning,Debt Reduction,Implemented,Satisfied,Satisfied,High
Jennifer Perez,38,"Port Jennifer, Peru",Male,2581.45,28593.91,0.0,2275.86,Fixed Deposits,Investment Strategy,Increase Savings,Implemented,Neutral,Very Unsatisfied,Low
Wayne Watson,25,"Julieton, United States of America",Male,8374.7,53132.68,4147.34,845.3,Cryptocurrency,Retirement Planning,Increase Savings,Seeking Further Consultation,Unsatisfied,Unsatisfied,High
Amanda Farrell,40,"Larryhaven, Algeria",Female,2578.45,48856.47,0.0,4313.48,Fixed Deposits,Savings Plan,Tax Savings,Partially Implemented,Unsatisfied,Very Unsatisfied,Moderate
Samuel Acosta,38,"Brendastad, Benin",Non-binary,6028.58,69699.54,4582.98,1735.45,Gold,Retirement Planning,Increase Savings,Partially Implemented,Neutral,Neutral,Moderate
Kenneth Fitzpatrick,70,"New Victoriafurt, Turkey",Non-binary,4819.85,42976.98,0.0,3217.77,Bonds,Debt Management,High ROI Investments,Seeking Further Consultation,Neutral,Neutral,Low
Anthony Nelson,61,"Derektown, Swaziland",Female,8180.87,73146.98,4779.07,3090.33,Real Estate,Debt Management,Debt Reduction,Seeking Further Consultation,Very Satisfied,Very Unsatisfied,High
Jennifer Marsh,47,"New Stephenton, El Salvador",Male,6243.54,70799.92,0.0,4454.87,Stocks,Savings Plan,Tax Savings,Implemented,Satisfied,Very Satisfied,Low
Beth Phillips,37,"Jeffreystad, New Caledonia",Female,5970.67,12372.25,396.86,743.0,Fixed Deposits,Tax Planning,Increase Savings,Not Implemented,Satisfied,Satisfied,Low
Alyssa Short,20,"East Ronaldfort, Kyrgyz Republic",Non-binary,9490.88,15956.23,4462.0,3159.1,Bonds,Retirement Planning,Debt Reduction,Seeking Further Consultation,Satisfied,Neutral,High
Ryan Wallace,21,"Toddfurt, Brazil",Non-binary,5688.37,62941.32,0.0,2073.41,Gold,Savings Plan,High ROI Investments,Seeking Further Consultation,Satisfied,Very Unsatisfied,Moderate
William Cox,58,"Williamsburgh, Syrian Arab Republic",Non-binary,7120.53,32560.84,1680.57,2216.92,Real Estate,Investment Strategy,Increase Savings,Seeking Further Consultation,Satisfied,Very Satisfied,Low
Jose Williams,20,"Stoutmouth, Lithuania",Male,8691.05,42614.87,3946.12,1201.12,Real Estate,Investment Strategy,Debt Reduction,Seeking Further Consultation,Unsatisfied,Satisfied,Low
Kelly Lamb,28,"Rayborough, Philippines",Non-binary,2997.35,17128.31,1753.07,2791.93,Cryptocurrency,Investment Strategy,Tax Savings,Implemented,Very Unsatisfied,Very Satisfied,Low
Carrie Marsh,56,"Reginaldburgh, Georgia",Male,9969.49,13481.44,0.0,3809.31,Bonds,Investment Strategy,Debt Reduction,Seeking Further Consultation,Very Satisfied,Unsatisfied,Low
Stacey Warren,24,"Barrerabury, Anguilla",Non-binary,7818.77,18124.36,2206.08,1319.94,Cryptocurrency,Tax Planning,Increase Savings,Implemented,Very Satisfied,Very Unsatisfied,Low
Hunter Davis,60,"Jacobport, Svalbard & Jan Mayen Islands",Male,9191.98,15279.24,0.0,1981.99,Stocks,Debt Management,Tax Savings,Seeking Further Consultation,Unsatisfied,Neutral,High
Kevin Gordon,24,"South Amandaside, El Salvador",Non-binary,3667.64,22345.83,3899.69,3132.38,Gold,Debt Management,Tax Savings,Partially Implemented,Very Unsatisfied,Neutral,High
William Williams,55,"Danielside, Chad",Non-binary,7421.21,98581.43,686.54,4276.38,Mutual Funds,Tax Planning,Debt Reduction,Implemented,Neutral,Very Satisfied,Moderate
Ricky Harrington,65,"West Michaelbury, Finland",Male,3249.33,87259.21,0.0,1674.31,Cryptocurrency,Debt Management,Debt Reduction,Implemented,Neutral,Satisfied,Moderate
Mr. Edgar Davis,52,"Nguyenmouth, Seychelles",Non-binary,5800.05,64025.25,2416.42,4491.81,Mutual Funds,Savings Plan,Tax Savings,Seeking Further Consultation,Unsatisfied,Very Satisfied,High
Joy Cook,40,"East Elizabeth, Honduras",Female,7289.81,71025.3,0.0,2184.09,Real Estate,Retirement Planning,Increase Savings,Partially Implemented,Unsatisfied,Neutral,Low
Richard Jimenez,67,"Port Jerrystad, Grenada",Non-binary,6682.55,47971.29,0.0,823.51,Gold,Savings Plan,Increase Savings,Seeking Further Consultation,Neutral,Very Unsatisfied,High
Steven Vaughn,59,"Lewisbury, Peru",Female,7811.19,52035.83,343.72,2614.61,Bonds,Tax Planning,Debt Reduction,Not Implemented,Satisfied,Satisfied,High
Kelly Barnes,67,"Aaronburgh, Marshall Islands",Non-binary,7293.16,70077.37,0.0,4285.94,Fixed Deposits,Savings Plan,Retirement Fund Building,Implemented,Very Satisfied,Very Satisfied,Moderate
Samantha Neal,22,"Contrerasside, Mauritania",Female,7458.12,27982.01,2230.87,3655.89,Gold,Savings Plan,Retirement Fund Building,Partially Implemented,Satisfied,Very Unsatisfied,Moderate
Erin Davis,64,"Jonmouth, Thailand",Non-binary,3108.88,42785.81,626.09,4826.56,Cryptocurrency,Investment Strategy,Tax Savings,Not Implemented,Very Satisfied,Unsatisfied,Low
Elizabeth Curtis,48,"Port Brentbury, Turkey",Non-binary,6258.13,94289.42,3068.25,678.27,Gold,Debt Management,Tax Savings,Partially Implemented,Very Unsatisfied,Satisfied,Moderate
James Brown,24,"Spencerberg, Somalia",Female,2137.44,73916.87,0.0,1704.23,Fixed Deposits,Debt Management,Increase Savings,Partially Implemented,Very Satisfied,Unsatisfied,Low
Francisco Diaz,35,"Port Saraside, Venezuela",Male,5514.81,70627.87,1340.4,3393.27,Gold,Tax Planning,Tax Savings,Partially Implemented,Neutral,Very Unsatisfied,Low
Wesley Romero,61,"Alexanderberg, Timor-Leste",Male,9655.89,26772.23,0.0,4293.29,Real Estate,Debt Management,Increase Savings,Implemented,Very Satisfied,Satisfied,High
Eric Moore,65,"Lake Carlos, Myanmar",Non-binary,6426.62,97613.54,467.04,1285.9,Real Estate,Savings Plan,High ROI Investments,Seeking Further Consultation,Very Satisfied,Very Satisfied,Low
Robert Ferguson,46,"Lake Ralph, Svalbard & Jan Mayen Islands",Non-binary,2211.15,69108.9,0.0,3936.85,Stocks,Debt Management,Debt Reduction,Seeking Further Consultation,Unsatisfied,Unsatisfied,High
Crystal Meyers,51,"New Laura, Andorra",Non-binary,6403.18,98942.78,4893.86,942.84,Fixed Deposits,Savings Plan,Debt Reduction,Implemented,Neutral,Very Unsatisfied,High
Daniel Morris,32,"Nicholasland, Tajikistan",Female,5602.91,35333.19,0.0,2466.14,Bonds,Savings Plan,Increase Savings,Seeking Further Consultation,Very Unsatisfied,Very Satisfied,High
Julie Choi,29,"Markton, Hungary",Female,6419.87,22594.62,1246.54,4256.33,Cryptocurrency,Investment Strategy,Increase Savings,Seeking Further Consultation,Very Unsatisfied,Very Satisfied,Moderate
Kaylee Simmons,53,"Jeremymouth, Saint Barthelemy",Male,6355.77,82275.76,0.0,1691.51,Gold,Retirement Planning,Debt Reduction,Not Implemented,Unsatisfied,Very Satisfied,Low
Jenna Miller,40,"South Sean, Sri Lanka",Male,7534.18,76373.39,231.88,2197.01,Real Estate,Savings Plan,Increase Savings,Implemented,Neutral,Satisfied,Moderate
Mary Parker,43,"Williamsland, Liberia",Male,5637.07,19529.84,2589.53,532.19,Stocks,Tax Planning,Retirement Fund Building,Not Implemented,Satisfied,Satisfied,Low
Melanie Jones,53,"Evansfurt, Qatar",Male,3924.0,8078.54,856.46,1141.39,Fixed Deposits,Debt Management,Retirement Fund Building,Partially Implemented,Neutral,Unsatisfied,Moderate
Samantha Howard,21,"East Jenniferbury, Ghana",Non-binary,8162.41,27425.77,970.04,4220.35,Mutual Funds,Retirement Planning,Increase Savings,Implemented,Neutral,Unsatisfied,High
Mary Rivera,36,"Whiteland, Liechtenstein",Female,3549.94,92740.18,0.0,1862.29,Gold,Retirement Planning,Tax Savings,Partially Implemented,Very Satisfied,Very Satisfied,High
Darren Sanchez,24,"Bateschester, New Caledonia",Female,6898.21,37558.7,0.0,3730.64,Fixed Deposits,Investment Strategy,Tax Savings,Seeking Further Consultation,Satisfied,Satisfied,High
Jennifer Singh,27,"New Robinville, Morocco",Male,8941.97,53626.91,0.0,785.81,Real Estate,Debt Management,High ROI Investments,Implemented,Very Satisfied,Satisfied,High
Gregory Watson,39,"North Alyssamouth, Anguilla",Non-binary,9074.36,28129.27,0.0,3284.39,Cryptocurrency,Debt Management,Debt Reduction,Partially Implemented,Very Satisfied,Unsatisfied,Low
Teresa Jenkins,39,"Port Andrewport, Gibraltar",Female,4799.95,63277.43,0.0,2107.41,Mutual Funds,Tax Planning,High ROI Investments,Partially Implemented,Very Satisfied,Very Unsatisfied,Low
Jose Jones,35,"Lake Aaron, Guam",Non-binary,8149.58,11435.47,0.0,2646.95,Mutual Funds,Savings Plan,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Neutral,Low
Stephen Ward,29,"East Stephanie, Northern Mariana Islands",Female,9643.26,54183.79,697.71,3672.33,Fixed Deposits,Retirement Planning,Tax Savings,Seeking Further Consultation,Satisfied,Very Unsatisfied,Moderate
Mark Freeman,30,"South Stephaniechester, Ecuador",Non-binary,3591.58,55108.74,0.0,2527.07,Mutual Funds,Debt Management,Increase Savings,Seeking Further Consultation,Very Satisfied,Very Satisfied,High
Jill Leon,19,"South Patty, Togo",Female,7929.23,49854.86,0.0,2265.3,Bonds,Retirement Planning,High ROI Investments,Seeking Further Consultation,Very Satisfied,Very Unsatisfied,High
Deborah Smith,67,"West Vickieshire, Nauru",Female,5353.24,12548.78,0.0,969.44,Bonds,Savings Plan,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Very Unsatisfied,High
Kyle Brock,66,"Faulknermouth, Guernsey",Female,4646.75,64943.91,0.0,1413.04,Bonds,Debt Management,Debt Reduction,Partially Implemented,Unsatisfied,Very Satisfied,Low
Paula Rodriguez,50,"Barberbury, Barbados",Non-binary,7409.01,52558.93,0.0,2971.42,Gold,Retirement Planning,Increase Savings,Implemented,Unsatisfied,Very Unsatisfied,Low
Katrina Smith,49,"New Amy, Hungary",Male,2813.93,90100.66,0.0,879.18,Stocks,Savings Plan,Debt Reduction,Implemented,Satisfied,Neutral,Low
Gina Shaw,35,"Paulview, United Arab Emirates",Non-binary,2098.86,44969.87,0.0,1681.58,Real Estate,Tax Planning,Retirement Fund Building,Implemented,Unsatisfied,Unsatisfied,Moderate
Brooke Butler,23,"Millsstad, Lebanon",Female,8513.09,48307.9,0.0,4976.89,Cryptocurrency,Tax Planning,Increase Savings,Partially Implemented,Very Unsatisfied,Neutral,Moderate
Stephanie Smith,54,"Lake Nicholas, Armenia",Male,6216.51,77247.07,2071.69,1683.11,Cryptocurrency,Tax Planning,Increase Savings,Seeking Further Consultation,Satisfied,Very Satisfied,High
Ronald Bean,49,"Port Wayne, Lebanon",Male,6234.7,58652.64,0.0,736.93,Stocks,Savings Plan,Retirement Fund Building,Implemented,Very Unsatisfied,Unsatisfied,High
Barry Zamora,42,"Donnamouth, Netherlands",Male,3789.41,74432.21,791.02,3688.01,Cryptocurrency,Savings Plan,Retirement Fund Building,Not Implemented,Very Unsatisfied,Satisfied,Moderate
Ruth Bentley,35,"Smithchester, Saint Barthelemy",Female,7963.53,88385.61,1153.87,1042.31,Bonds,Savings Plan,Retirement Fund Building,Partially Implemented,Unsatisfied,Satisfied,High
Miranda Clark,65,"Samanthafort, Kuwait",Female,8758.44,8797.22,0.0,4788.8,Mutual Funds,Debt Management,Retirement Fund Building,Not Implemented,Very Unsatisfied,Satisfied,Low
Michelle Kelly,69,"North Kevinville, Yemen",Female,5752.65,88084.65,0.0,1593.68,Cryptocurrency,Tax Planning,Increase Savings,Partially Implemented,Very Satisfied,Unsatisfied,Moderate
Alison Adams,29,"Port Ethantown, Guernsey",Female,9037.78,35230.43,4848.67,4534.88,Stocks,Retirement Planning,Tax Savings,Seeking Further Consultation,Very Satisfied,Unsatisfied,Low
Jesse Vasquez,24,"Torresmouth, Somalia",Male,7312.22,25551.27,0.0,2040.38,Gold,Savings Plan,Increase Savings,Not Implemented,Neutral,Neutral,High
Natalie Lewis,39,"New Rachael, Denmark",Non-binary,9835.82,58490.98,0.0,3809.11,Bonds,Debt Management,Retirement Fund Building,Implemented,Neutral,Neutral,High
Michael Gates,26,"South Troyhaven, New Caledonia",Non-binary,5641.52,61406.06,0.0,2529.15,Mutual Funds,Debt Management,High ROI Investments,Partially Implemented,Unsatisfied,Very Unsatisfied,Moderate
Eddie Nicholson,27,"North Kenneth, Spain",Non-binary,9091.85,46881.49,4191.52,2349.24,Gold,Savings Plan,Debt Reduction,Not Implemented,Satisfied,Neutral,High
Bobby Tapia,36,"South Anafort, Nepal",Male,6650.08,47946.88,0.0,3218.97,Bonds,Savings Plan,High ROI Investments,Not Implemented,Neutral,Neutral,Moderate
Ian Miller,44,"Lake Jenniferberg, Rwanda",Male,8330.28,43756.45,0.0,1781.58,Fixed Deposits,Tax Planning,Tax Savings,Implemented,Unsatisfied,Very Unsatisfied,High
Denise Chen,58,"New Michaelside, Heard Island and McDonald Islands",Non-binary,6009.25,26867.28,0.0,3651.4,Real Estate,Investment Strategy,Debt Reduction,Seeking Further Consultation,Very Unsatisfied,Neutral,High
Andrew James,38,"East Maryfort, Luxembourg",Female,7790.16,61432.99,3936.67,3616.74,Cryptocurrency,Investment Strategy,Retirement Fund Building,Not Implemented,Very Satisfied,Unsatisfied,Low
Charles Howard DVM,37,"South Jorgeport, Bulgaria",Male,7347.42,84533.18,699.86,1510.03,Bonds,Tax Planning,High ROI Investments,Implemented,Neutral,Neutral,Low
Cassandra Werner,67,"Lake Thomas, Northern Mariana Islands",Non-binary,2774.64,18080.53,0.0,4901.54,Bonds,Retirement Planning,Tax Savings,Implemented,Very Satisfied,Very Unsatisfied,Moderate
Derek Mccormick,48,"Kelseyton, Guernsey",Female,2657.92,80909.12,1601.01,2382.97,Fixed Deposits,Debt Management,Tax Savings,Not Implemented,Very Unsatisfied,Satisfied,High
Tyler Torres,29,"East Monica, Colombia",Female,6325.24,60949.54,3293.02,3874.42,Gold,Investment Strategy,Increase Savings,Partially Implemented,Very Satisfied,Unsatisfied,Moderate
Kara Wiggins,53,"Cindytown, Moldova",Non-binary,5834.92,91896.49,848.8,3553.13,Mutual Funds,Retirement Planning,Tax Savings,Partially Implemented,Very Unsatisfied,Very Satisfied,Low
Angel Le,18,"Randallstad, Palestinian Territory",Male,9469.14,23988.02,0.0,2279.25,Stocks,Savings Plan,Tax Savings,Partially Implemented,Very Unsatisfied,Very Satisfied,High
Joann Cooke,40,"Mitchellville, Martinique",Female,7117.21,53678.96,4256.0,930.35,Mutual Funds,Investment Strategy,Tax Savings,Not Implemented,Satisfied,Very Unsatisfied,Moderate
Patricia Rodriguez,63,"Christinemouth, Netherlands",Male,2019.34,84581.42,388.68,2694.23,Real Estate,Retirement Planning,Tax Savings,Seeking Further Consultation,Neutral,Very Unsatisfied,Moderate
Matthew Levine,64,"New Ryanstad, Marshall Islands",Male,9298.17,24525.53,0.0,3723.36,Fixed Deposits,Investment Strategy,Retirement Fund Building,Not Implemented,Very Unsatisfied,Very Unsatisfied,Moderate
Theresa Jackson,28,"Marshallstad, Uruguay",Male,3255.1,31867.5,0.0,2677.64,Gold,Tax Planning,Retirement Fund Building,Not Implemented,Very Unsatisfied,Satisfied,High
Meagan Ramos,30,"Waltonmouth, Trinidad and Tobago",Female,5220.43,50820.81,0.0,3758.93,Bonds,Savings Plan,Increase Savings,Partially Implemented,Neutral,Neutral,Low
Heather Edwards,32,"Greenborough, Lao People's Democratic Republic",Non-binary,4196.16,69740.5,2489.73,4241.56,Cryptocurrency,Tax Planning,High ROI Investments,Partially Implemented,Neutral,Unsatisfied,Low
Austin Todd,32,"Ashleyhaven, Niue",Non-binary,2066.92,40863.05,0.0,2017.42,Real Estate,Retirement Planning,High ROI Investments,Not Implemented,Very Satisfied,Very Satisfied,Moderate
Seth White,64,"New Zachary, France",Non-binary,8932.53,36552.74,802.78,3272.74,Cryptocurrency,Savings Plan,High ROI Investments,Seeking Further Consultation,Satisfied,Very Unsatisfied,Low
Michael Butler,45,"North Ryan, Armenia",Non-binary,5901.53,85039.33,453.92,2864.98,Fixed Deposits,Retirement Planning,Increase Savings,Not Implemented,Very Unsatisfied,Satisfied,Moderate
Mary Randall,33,"Dianehaven, Mongolia",Female,8140.16,79724.88,3538.23,2236.22,Gold,Savings Plan,Increase Savings,Not Implemented,Satisfied,Unsatisfied,Low
