Name,Age,Nationality,Travel Preference,Loyalty Program Status,Past Travel Detail,Payment Detail,Booking Pattern,User Feedback
Brian Contreras,20,French Southern Territories,Cultural,Platinum,"{'destination': 'New Tyler', 'duration': '4 days', 'hotel_stay': 'Vega, Freeman and Ritter', 'activity': 'Local cuisine tasting'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2021, 9, 16), 'amount': '$3417'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 2, 'comments': 'Third decision prove discussion picture focus.'}"
Melissa Bryant,53,Malaysia,Business,Silver,"{'destination': 'Esparzaview', 'duration': '1 days', 'hotel_stay': 'Swanson PLC', 'activity': 'Museum visit'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2022, 11, 21), 'amount': '$2856'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Satisfied', 'rating': 5, 'comments': 'Sign pressure tell.'}"
Clarence Fowler,41,Georgia,Cultural,Bronze,"{'destination': 'Thomasfort', 'duration': '1 days', 'hotel_stay': 'Ochoa and Sons', 'activity': 'Hiking'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2021, 11, 4), 'amount': '$8063'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Unsatisfied', 'rating': 3, 'comments': 'Treat hotel beyond explain tell affect recent.'}"
Spencer Larsen,40,Togo,Business,Bronze,"{'destination': 'Michellemouth', 'duration': '7 days', 'hotel_stay': 'Davis Ltd', 'activity': 'Hiking'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2021, 2, 12), 'amount': '$6069'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Neutral', 'rating': 1, 'comments': 'Sister police something specific agree possible senior.'}"
Amy Medina,44,Argentina,Business,Bronze,"{'destination': 'New Joshua', 'duration': '7 days', 'hotel_stay': 'Parker, Osborne and Chavez', 'activity': 'Beach'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2022, 1, 1), 'amount': '$4531'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 3, 'comments': 'Tree open measure these church region.'}"
Adam Wagner,19,Fiji,Luxury,Gold,"{'destination': 'South Phillipview', 'duration': '13 days', 'hotel_stay': 'Lewis, Brown and Patterson', 'activity': 'Hiking'}","{'method': 'PayPal', 'transaction_date': datetime.date(2021, 5, 15), 'amount': '$5582'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Satisfied', 'rating': 5, 'comments': 'Thank similar table hour by.'}"
Andrea Jones,48,United States Virgin Islands,Luxury,Silver,"{'destination': 'East Susan', 'duration': '10 days', 'hotel_stay': 'White-Morse', 'activity': 'Local cuisine tasting'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2023, 4, 1), 'amount': '$7263'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Satisfied', 'rating': 5, 'comments': 'Whom a send.'}"
Diane Sawyer,32,Bermuda,Eco-friendly,Silver,"{'destination': 'East Sarah', 'duration': '13 days', 'hotel_stay': 'Warren, Haynes and Monroe', 'activity': 'Hiking'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2021, 6, 29), 'amount': '$547'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Unsatisfied', 'rating': 2, 'comments': 'Year arrive ground manage.'}"
Lacey Adams,51,Tokelau,Adventure,Gold,"{'destination': 'Matthewville', 'duration': '13 days', 'hotel_stay': 'Washington Inc', 'activity': 'Shopping'}","{'method': 'PayPal', 'transaction_date': datetime.date(2023, 7, 6), 'amount': '$3015'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Neutral', 'rating': 4, 'comments': 'First sea opportunity by.'}"
Robert Marsh,49,Malaysia,Eco-friendly,Bronze,"{'destination': 'Justintown', 'duration': '6 days', 'hotel_stay': 'Savage-James', 'activity': 'Local cuisine tasting'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2022, 12, 16), 'amount': '$7285'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 2, 'comments': 'Week close wish.'}"
Darlene Sullivan,49,Nauru,Adventure,Gold,"{'destination': 'North Loganshire', 'duration': '8 days', 'hotel_stay': 'Roy-Martinez', 'activity': 'Beach'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2023, 8, 20), 'amount': '$4846'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Satisfied', 'rating': 3, 'comments': 'News describe them drop.'}"
Aaron Strickland,36,Saint Martin,Business,Gold,"{'destination': 'Lake Christopher', 'duration': '6 days', 'hotel_stay': 'Torres and Sons', 'activity': 'Hiking'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2020, 4, 30), 'amount': '$6341'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Satisfied', 'rating': 5, 'comments': 'Do investment environment whole tell.'}"
Brenda Roberts,19,Nigeria,Adventure,Gold,"{'destination': 'Port Travis', 'duration': '9 days', 'hotel_stay': 'West, Moore and Washington', 'activity': 'Museum visit'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2021, 11, 1), 'amount': '$1812'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Satisfied', 'rating': 5, 'comments': 'Rise moment nor American matter later.'}"
Ann Allen,54,Christmas Island,Cultural,Bronze,"{'destination': 'Lake Shannonfurt', 'duration': '1 days', 'hotel_stay': 'Keller-Mcmahon', 'activity': 'Local cuisine tasting'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2022, 7, 7), 'amount': '$6445'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Neutral', 'rating': 1, 'comments': 'Near middle plant try so between area.'}"
Linda Stevens,57,Palau,Eco-friendly,Silver,"{'destination': 'New Manueltown', 'duration': '12 days', 'hotel_stay': 'Johnson-Craig', 'activity': 'Museum visit'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2020, 6, 9), 'amount': '$6525'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Unsatisfied', 'rating': 2, 'comments': 'Order manage girl.'}"
Mrs. Adrienne Cannon,28,Tajikistan,Adventure,Gold,"{'destination': 'Lake Michaelberg', 'duration': '8 days', 'hotel_stay': 'Garrett-Lynch', 'activity': 'Beach'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2022, 3, 7), 'amount': '$2595'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Unsatisfied', 'rating': 1, 'comments': 'Relationship despite someone that government.'}"
Mr. Matthew Wells,48,Canada,Business,Silver,"{'destination': 'West Alanton', 'duration': '12 days', 'hotel_stay': 'Gallegos-Ali', 'activity': 'Museum visit'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2020, 10, 10), 'amount': '$9899'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Satisfied', 'rating': 2, 'comments': 'Worker once member draw push charge.'}"
Monica Keller,58,Solomon Islands,Eco-friendly,Bronze,"{'destination': 'North Michelle', 'duration': '7 days', 'hotel_stay': 'Stewart, Jones and Smith', 'activity': 'Museum visit'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2020, 9, 9), 'amount': '$562'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Neutral', 'rating': 4, 'comments': 'College system perform cover another similar turn.'}"
Chris Moreno,44,Isle of Man,Cultural,Platinum,"{'destination': 'North Kayla', 'duration': '12 days', 'hotel_stay': 'Morris PLC', 'activity': 'Museum visit'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2022, 1, 3), 'amount': '$7690'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 4, 'comments': 'Physical compare poor party worry time hotel.'}"
Sara Henderson,29,Mauritania,Eco-friendly,Silver,"{'destination': 'North Thomashaven', 'duration': '4 days', 'hotel_stay': 'Hamilton Ltd', 'activity': 'Hiking'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2020, 2, 11), 'amount': '$8863'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 5, 'comments': 'Fine agreement certainly image century.'}"
Derek Green,36,Bahrain,Budget,Bronze,"{'destination': 'Lake Marybury', 'duration': '2 days', 'hotel_stay': 'Ray Group', 'activity': 'Local cuisine tasting'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2023, 7, 17), 'amount': '$6740'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Unsatisfied', 'rating': 5, 'comments': 'Cost physical people note together training course.'}"
Brian Stevens,54,Haiti,Cultural,Platinum,"{'destination': 'Charlesstad', 'duration': '6 days', 'hotel_stay': 'Simpson, Edwards and Jones', 'activity': 'Museum visit'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2022, 4, 5), 'amount': '$7698'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Satisfied', 'rating': 4, 'comments': 'Mention school appear suddenly seat.'}"
Gail Thornton,58,Dominican Republic,Luxury,Bronze,"{'destination': 'West Danielmouth', 'duration': '12 days', 'hotel_stay': 'Moore-Martin', 'activity': 'Museum visit'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2023, 4, 3), 'amount': '$2044'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Satisfied', 'rating': 3, 'comments': 'Feeling institution management.'}"
Adam Deleon,19,Syrian Arab Republic,Luxury,Platinum,"{'destination': 'Lake Nathanielstad', 'duration': '13 days', 'hotel_stay': 'Thomas Ltd', 'activity': 'Local cuisine tasting'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2022, 4, 12), 'amount': '$4774'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 1, 'comments': 'Test agreement now course view.'}"
Charles Jimenez,60,American Samoa,Luxury,Platinum,"{'destination': 'West Hannah', 'duration': '6 days', 'hotel_stay': 'Green and Sons', 'activity': 'Sightseeing'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2022, 8, 9), 'amount': '$688'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Satisfied', 'rating': 5, 'comments': 'Everything tree guess wait gun.'}"
Glenn Wise,55,South Georgia and the South Sandwich Islands,Cultural,Silver,"{'destination': 'Mariamouth', 'duration': '7 days', 'hotel_stay': 'Henry, Wall and Ward', 'activity': 'Hiking'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2022, 12, 25), 'amount': '$3033'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Unsatisfied', 'rating': 2, 'comments': 'White some instead traditional occur year protect statement.'}"
Walter Harrell,26,Mongolia,Budget,Gold,"{'destination': 'East Brandonfort', 'duration': '4 days', 'hotel_stay': 'Wall-Williams', 'activity': 'Local cuisine tasting'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2022, 7, 1), 'amount': '$4899'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Neutral', 'rating': 5, 'comments': 'Economy answer country matter myself task piece senior.'}"
Dr. Krista Young DDS,23,Christmas Island,Luxury,Platinum,"{'destination': 'Lake Michael', 'duration': '8 days', 'hotel_stay': 'Savage, Krueger and Roberson', 'activity': 'Local cuisine tasting'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2020, 11, 3), 'amount': '$1488'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Satisfied', 'rating': 5, 'comments': 'Machine some subject me themselves glass practice.'}"
Joseph Howe,32,Cambodia,Adventure,Silver,"{'destination': 'Meyershire', 'duration': '14 days', 'hotel_stay': 'Macias-Anderson', 'activity': 'Museum visit'}","{'method': 'PayPal', 'transaction_date': datetime.date(2021, 12, 10), 'amount': '$7994'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Satisfied', 'rating': 2, 'comments': 'Produce small serve simply others analysis defense factor.'}"
Kimberly Haley,42,Kuwait,Luxury,Silver,"{'destination': 'New Catherine', 'duration': '11 days', 'hotel_stay': 'Leonard-Long', 'activity': 'Shopping'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2022, 12, 7), 'amount': '$8589'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Neutral', 'rating': 3, 'comments': 'Other seat agree thank add assume.'}"
Abigail Wilson,29,Venezuela,Budget,Gold,"{'destination': 'New Donald', 'duration': '9 days', 'hotel_stay': 'Jimenez LLC', 'activity': 'Shopping'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2020, 12, 28), 'amount': '$3361'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Neutral', 'rating': 1, 'comments': 'Several natural home.'}"
Madison Davis,33,Italy,Eco-friendly,Bronze,"{'destination': 'New Patricia', 'duration': '10 days', 'hotel_stay': 'Sanchez, Gordon and Castillo', 'activity': 'Shopping'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2023, 8, 5), 'amount': '$3340'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Satisfied', 'rating': 2, 'comments': 'Anything particular unit organization game.'}"
Christopher Chen,28,Bouvet Island (Bouvetoya),Cultural,Gold,"{'destination': 'New Justinshire', 'duration': '10 days', 'hotel_stay': 'Garcia PLC', 'activity': 'Shopping'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2020, 3, 10), 'amount': '$4238'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Neutral', 'rating': 5, 'comments': 'Skin pay interview move pretty us.'}"
April Conley,28,Brazil,Adventure,Gold,"{'destination': 'Smithport', 'duration': '13 days', 'hotel_stay': 'Erickson PLC', 'activity': 'Museum visit'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2020, 6, 14), 'amount': '$7330'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Satisfied', 'rating': 1, 'comments': 'Thousand material air particularly.'}"
James Gonzalez,19,Swaziland,Business,Platinum,"{'destination': 'New Michaelport', 'duration': '7 days', 'hotel_stay': 'Pearson, Brown and Banks', 'activity': 'Beach'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2023, 4, 3), 'amount': '$5376'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Satisfied', 'rating': 1, 'comments': 'Lawyer season west will friend outside final.'}"
Christopher Hancock,55,Saint Pierre and Miquelon,Adventure,Platinum,"{'destination': 'Deniseburgh', 'duration': '13 days', 'hotel_stay': 'Mercado-Hayes', 'activity': 'Local cuisine tasting'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2020, 7, 17), 'amount': '$4543'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Satisfied', 'rating': 5, 'comments': 'Time pass get forward.'}"
John Garcia,31,Latvia,Cultural,Platinum,"{'destination': 'South Davidhaven', 'duration': '7 days', 'hotel_stay': 'Porter-Mora', 'activity': 'Beach'}","{'method': 'PayPal', 'transaction_date': datetime.date(2021, 10, 30), 'amount': '$8185'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 1, 'comments': 'Quite dream product heart black career.'}"
Lisa Mercado,45,Tanzania,Eco-friendly,Gold,"{'destination': 'Strongville', 'duration': '8 days', 'hotel_stay': 'Doyle Inc', 'activity': 'Local cuisine tasting'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2022, 7, 14), 'amount': '$2545'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Unsatisfied', 'rating': 3, 'comments': 'Author treatment give.'}"
Karen Charles,53,Namibia,Business,Platinum,"{'destination': 'Port Erik', 'duration': '8 days', 'hotel_stay': 'Massey, Thompson and Martinez', 'activity': 'Sightseeing'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2021, 6, 3), 'amount': '$4674'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Neutral', 'rating': 1, 'comments': 'Lot choice anything group budget little risk wrong.'}"
Whitney Miller,28,United Kingdom,Eco-friendly,Gold,"{'destination': 'Ashleyfort', 'duration': '3 days', 'hotel_stay': 'Garcia-Bright', 'activity': 'Museum visit'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2023, 7, 23), 'amount': '$340'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Neutral', 'rating': 2, 'comments': 'Director admit rock history.'}"
Chris Sanders,48,Czech Republic,Adventure,Silver,"{'destination': 'Colemanside', 'duration': '2 days', 'hotel_stay': 'Phillips-Ruiz', 'activity': 'Museum visit'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2023, 8, 7), 'amount': '$5915'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Unsatisfied', 'rating': 4, 'comments': 'Would treatment top accept top president great.'}"
Shelia Rodgers,42,Saint Helena,Business,Silver,"{'destination': 'East Haley', 'duration': '10 days', 'hotel_stay': 'Rodriguez-Ball', 'activity': 'Sightseeing'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2020, 8, 18), 'amount': '$818'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Neutral', 'rating': 3, 'comments': 'Fact interest yard audience.'}"
Kimberly Sims,29,Cambodia,Business,Platinum,"{'destination': 'East Ronald', 'duration': '1 days', 'hotel_stay': 'Harris Ltd', 'activity': 'Sightseeing'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2022, 5, 18), 'amount': '$7236'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Unsatisfied', 'rating': 5, 'comments': 'Same key direction understand.'}"
Julia Barron,53,Myanmar,Budget,Platinum,"{'destination': 'West Jonathanbury', 'duration': '7 days', 'hotel_stay': 'Adkins, Benson and Robbins', 'activity': 'Local cuisine tasting'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2020, 2, 8), 'amount': '$4926'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Satisfied', 'rating': 5, 'comments': 'Movement or customer different worker enjoy police such.'}"
Brandon Cantu Jr.,51,Oman,Luxury,Platinum,"{'destination': 'New Brent', 'duration': '8 days', 'hotel_stay': 'Ayers Ltd', 'activity': 'Museum visit'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2021, 3, 3), 'amount': '$6660'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Satisfied', 'rating': 3, 'comments': 'Although discussion Congress either doctor.'}"
Andrea Williams,38,Djibouti,Eco-friendly,Gold,"{'destination': 'New Hannahchester', 'duration': '9 days', 'hotel_stay': 'Martinez, Haas and Austin', 'activity': 'Local cuisine tasting'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2023, 2, 20), 'amount': '$7994'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Unsatisfied', 'rating': 5, 'comments': 'Herself writer long least training chair.'}"
Brittany Johnson,58,United States Virgin Islands,Eco-friendly,Bronze,"{'destination': 'South Elizabethville', 'duration': '14 days', 'hotel_stay': 'Russo LLC', 'activity': 'Beach'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2020, 11, 24), 'amount': '$5936'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 3, 'comments': 'Share market culture girl too figure piece.'}"
Heather Werner,33,Russian Federation,Eco-friendly,Platinum,"{'destination': 'Port Coltonmouth', 'duration': '7 days', 'hotel_stay': 'Hardy, Howard and Kelly', 'activity': 'Sightseeing'}","{'method': 'PayPal', 'transaction_date': datetime.date(2023, 5, 12), 'amount': '$5614'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 4, 'comments': 'Push simple thought shake health property.'}"
Kristina Pierce,47,Malta,Business,Platinum,"{'destination': 'Jacksonstad', 'duration': '6 days', 'hotel_stay': 'Knapp, Jarvis and Levine', 'activity': 'Sightseeing'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2020, 9, 19), 'amount': '$5361'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 2, 'comments': 'Represent enough meet else.'}"
Debra Adams,50,Zimbabwe,Luxury,Gold,"{'destination': 'Thomasfort', 'duration': '10 days', 'hotel_stay': 'Johnson, Alexander and Huffman', 'activity': 'Museum visit'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2022, 7, 24), 'amount': '$8343'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Satisfied', 'rating': 2, 'comments': 'Fine culture worker dinner situation.'}"
Courtney Wolf,38,Finland,Business,Bronze,"{'destination': 'Charlesburgh', 'duration': '4 days', 'hotel_stay': 'Brown-Solis', 'activity': 'Museum visit'}","{'method': 'PayPal', 'transaction_date': datetime.date(2021, 7, 10), 'amount': '$714'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Satisfied', 'rating': 2, 'comments': 'Almost that imagine perhaps issue.'}"
Dawn Phillips,19,Bhutan,Budget,Gold,"{'destination': 'Wareborough', 'duration': '5 days', 'hotel_stay': 'Mitchell, Davidson and Jones', 'activity': 'Hiking'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2022, 1, 5), 'amount': '$9920'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 2, 'comments': 'Available small lot tax box.'}"
Meghan Kerr,27,Zimbabwe,Adventure,Gold,"{'destination': 'Lake Andrew', 'duration': '4 days', 'hotel_stay': 'Thomas, Perry and Abbott', 'activity': 'Museum visit'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2020, 8, 13), 'amount': '$6173'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Neutral', 'rating': 5, 'comments': 'Growth risk phone analysis over those say quality.'}"
Leslie Conway,36,Oman,Luxury,Platinum,"{'destination': 'Alexport', 'duration': '1 days', 'hotel_stay': 'Taylor, Simpson and Snow', 'activity': 'Beach'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2021, 11, 6), 'amount': '$3402'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Neutral', 'rating': 1, 'comments': 'Exactly alone positive about half.'}"
Karen Clark,47,Togo,Adventure,Bronze,"{'destination': 'Elizabethfurt', 'duration': '8 days', 'hotel_stay': 'Wiley Inc', 'activity': 'Local cuisine tasting'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2021, 7, 29), 'amount': '$1945'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Satisfied', 'rating': 2, 'comments': 'Stock not voice customer because tonight president.'}"
Mary Green,27,Zimbabwe,Business,Platinum,"{'destination': 'Port Stephanie', 'duration': '1 days', 'hotel_stay': 'Watson and Sons', 'activity': 'Shopping'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2023, 4, 5), 'amount': '$2910'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Neutral', 'rating': 4, 'comments': 'Religious story example tell send drive life.'}"
Roy Cooke,21,New Zealand,Business,Bronze,"{'destination': 'Pricemouth', 'duration': '12 days', 'hotel_stay': 'Russell, Smith and Gilmore', 'activity': 'Local cuisine tasting'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2020, 1, 12), 'amount': '$8429'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Neutral', 'rating': 2, 'comments': 'Represent white here notice.'}"
Tamara Miller,59,Guam,Business,Bronze,"{'destination': 'Dustinview', 'duration': '8 days', 'hotel_stay': 'Gould and Sons', 'activity': 'Shopping'}","{'method': 'PayPal', 'transaction_date': datetime.date(2023, 3, 9), 'amount': '$2926'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Unsatisfied', 'rating': 2, 'comments': 'Away husband explain even daughter almost.'}"
Jaime Craig,39,Belgium,Adventure,Silver,"{'destination': 'Michellebury', 'duration': '10 days', 'hotel_stay': 'Ho Group', 'activity': 'Local cuisine tasting'}","{'method': 'PayPal', 'transaction_date': datetime.date(2020, 9, 29), 'amount': '$9291'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Neutral', 'rating': 4, 'comments': 'But strong prepare ready art she table.'}"
Jared Le,40,Guyana,Adventure,Bronze,"{'destination': 'Angelachester', 'duration': '12 days', 'hotel_stay': 'Lee-Robertson', 'activity': 'Shopping'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2020, 9, 22), 'amount': '$214'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Neutral', 'rating': 3, 'comments': 'Its factor bad believe go.'}"
Brenda Jackson,24,Swaziland,Eco-friendly,Bronze,"{'destination': 'Adkinstown', 'duration': '7 days', 'hotel_stay': 'Edwards, Smith and Graves', 'activity': 'Local cuisine tasting'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2022, 3, 19), 'amount': '$9183'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Satisfied', 'rating': 2, 'comments': 'Concern course political economic go human authority.'}"
Michelle Thomas,31,Aruba,Cultural,Silver,"{'destination': 'South Johntown', 'duration': '6 days', 'hotel_stay': 'Brady-Hernandez', 'activity': 'Shopping'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2022, 10, 24), 'amount': '$1254'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Unsatisfied', 'rating': 3, 'comments': 'Family follow door every happy can.'}"
Stephanie Martinez,33,Solomon Islands,Adventure,Bronze,"{'destination': 'Perryborough', 'duration': '1 days', 'hotel_stay': 'Sanders-Taylor', 'activity': 'Hiking'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2020, 8, 29), 'amount': '$7507'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Satisfied', 'rating': 3, 'comments': 'Ball serious song then total.'}"
Austin Powers,60,Turks and Caicos Islands,Business,Gold,"{'destination': 'North Rachelmouth', 'duration': '8 days', 'hotel_stay': 'Ochoa Inc', 'activity': 'Beach'}","{'method': 'PayPal', 'transaction_date': datetime.date(2020, 2, 14), 'amount': '$8956'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Satisfied', 'rating': 1, 'comments': 'Station through budget special.'}"
