Name,Age,Location,Allergens,Dietary Restriction,Dining Experience,User Interaction
Tracey Lee DVM,34,Morrisonland,"['Shellfish', 'Milk', 'Egg']",Halal,"{'restaurant_name': 'Hudson, Anderson and Stewart', 'meal_type': 'Dessert', 'menu_selection': 'Source kid room big impact.', 'special_requests': 'Shellfish, Milk, Egg', 'feedback': 'Satisfied'}","{'staff_interaction': 'Short describe fine peace drive.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Most Details Public'}"
Jennifer Rogers,46,West Madeline,['Soy'],Gluten Free,"{'restaurant_name': 'Russell and Sons', 'meal_type': 'Main Course', 'menu_selection': 'Allow until door father head.', 'special_requests': 'Soy', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Program quality four cut agent debate hotel.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Profile Public'}"
Mrs. Tonya Clarke,46,Valentinemouth,"['Egg', 'Wheat', 'Soy']",Halal,"{'restaurant_name': 'Williams-Young', 'meal_type': 'Drink', 'menu_selection': 'Member want science whom remain.', 'special_requests': 'Egg, Wheat, Soy', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Several scientist college south those.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Some Details Public'}"
Gregory Campbell,59,Erictown,"['Soy', 'Egg', 'Peanuts']",Vegan,"{'restaurant_name': 'Schultz-Reed', 'meal_type': 'Dessert', 'menu_selection': 'Raise force least traditional professor control.', 'special_requests': 'Soy, Egg, Peanuts', 'feedback': 'Satisfied'}","{'staff_interaction': 'Bed green sound important none.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Most Details Public'}"
Todd Kelley,35,Derrickshire,[],Keto,"{'restaurant_name': 'Galloway, Ruiz and King', 'meal_type': 'Dessert', 'menu_selection': 'Administration exist thought sing rise food.', 'special_requests': 'None', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Phone view everyone ago middle from student two.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Profile Public'}"
Miss Jessica Woods,19,East Timothy,"['Shellfish', 'Peanuts']",Vegan,"{'restaurant_name': 'Garcia, Parker and Edwards', 'meal_type': 'Starter', 'menu_selection': 'Cause property trip air.', 'special_requests': 'Shellfish, Peanuts', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Trade pattern room claim short outside.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Most Details Public'}"
Krystal King,36,Douglasburgh,"['Egg', 'Soy', 'Shellfish']",Gluten Free,"{'restaurant_name': 'Villanueva-Jones', 'meal_type': 'Main Course', 'menu_selection': 'Red same reality according experience guess.', 'special_requests': 'Egg, Soy, Shellfish', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Whom end candidate something simple vote.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Some Details Public'}"
Jonathan Hammond,31,North Shanebury,['Egg'],Low Fat,"{'restaurant_name': 'Acosta Ltd', 'meal_type': 'Main Course', 'menu_selection': 'Line TV road great choice bar radio choose.', 'special_requests': 'Egg', 'feedback': 'Satisfied'}","{'staff_interaction': 'Every your audience wind own.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 5}, 'privacy_setting': 'Some Details Public'}"
Eric Singh,53,Wellsland,[],Kosher,"{'restaurant_name': 'Little Ltd', 'meal_type': 'Main Course', 'menu_selection': 'Run sit support.', 'special_requests': 'None', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Million century along character south hit.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Profile Private'}"
Kathryn Graves,51,Kellybury,"['Tree nuts', 'Soy']",Gluten Free,"{'restaurant_name': 'Morrison-Anderson', 'meal_type': 'Drink', 'menu_selection': 'Power such house police force whether strategy.', 'special_requests': 'Tree nuts, Soy', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Save they above choice care book.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
Madison Larsen,46,East Kevinfurt,"['Fish', 'Wheat', 'Egg']",Vegan,"{'restaurant_name': 'Padilla Ltd', 'meal_type': 'Main Course', 'menu_selection': 'Responsibility until end different who.', 'special_requests': 'Fish, Wheat, Egg', 'feedback': 'Satisfied'}","{'staff_interaction': 'Well through open various action yeah.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Profile Public'}"
John Lucas,39,Garyshire,"['Peanuts', 'Fish']",Low Fat,"{'restaurant_name': 'Ross Inc', 'meal_type': 'Drink', 'menu_selection': 'Difference this image.', 'special_requests': 'Peanuts, Fish', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Education single movie mission reason live agree.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Most Details Public'}"
Jessica Galvan,32,New Ellen,[],Gluten Free,"{'restaurant_name': 'Mann Inc', 'meal_type': 'Dessert', 'menu_selection': 'Shoulder reality line ability ten address continue full.', 'special_requests': 'None', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Onto world thus development recently TV mention quality.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Most Details Public'}"
Kayla Henry,19,Gillview,"['Egg', 'Milk', 'Wheat']",Low Fat,"{'restaurant_name': 'Williams-West', 'meal_type': 'Drink', 'menu_selection': 'Interesting election writer standard individual.', 'special_requests': 'Egg, Milk, Wheat', 'feedback': 'Neutral'}","{'staff_interaction': 'Enough how affect community.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
Pamela Lam,48,Floreshaven,[],Low Fat,"{'restaurant_name': 'Murphy, Park and English', 'meal_type': 'Drink', 'menu_selection': 'Control physical agree apply play present four available.', 'special_requests': 'None', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Paper finally none candidate life could.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Profile Public'}"
Ryan Fernandez,33,Barbaraville,[],Keto,"{'restaurant_name': 'Miller PLC', 'meal_type': 'Drink', 'menu_selection': 'Either staff teach.', 'special_requests': 'None', 'feedback': 'Neutral'}","{'staff_interaction': 'Know democratic get industry great herself gas.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Kelly Thompson,42,New Dennisview,[],Vegan,"{'restaurant_name': 'Brown PLC', 'meal_type': 'Starter', 'menu_selection': 'Imagine customer see type alone television capital.', 'special_requests': 'None', 'feedback': 'Satisfied'}","{'staff_interaction': 'Whose will conference low institution woman.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Some Details Public'}"
Benjamin Lee,19,North David,"['Milk', 'Peanuts']",Vegetarian,"{'restaurant_name': 'Moon-Rice', 'meal_type': 'Main Course', 'menu_selection': 'Idea win kitchen drive.', 'special_requests': 'Milk, Peanuts', 'feedback': 'Satisfied'}","{'staff_interaction': 'Early indeed affect I grow question maybe.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Some Details Public'}"
Megan Potter,39,South Timothyshire,[],Vegetarian,"{'restaurant_name': 'Williams, Green and Golden', 'meal_type': 'Drink', 'menu_selection': 'Energy somebody mouth become.', 'special_requests': 'None', 'feedback': 'Neutral'}","{'staff_interaction': 'Lead smile nor new relationship guess a know.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Profile Private'}"
Kristin Anderson,58,Lake Miguel,"['Peanuts', 'Shellfish']",Vegan,"{'restaurant_name': 'Tran-Garner', 'meal_type': 'Dessert', 'menu_selection': 'Nation allow management boy entire nearly middle return.', 'special_requests': 'Peanuts, Shellfish', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Pretty idea serve well night east computer.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Profile Public'}"
Jennifer Davis,49,West Jennifer,[],Halal,"{'restaurant_name': 'Macdonald, Leonard and Ruiz', 'meal_type': 'Starter', 'menu_selection': 'When form daughter authority brother health.', 'special_requests': 'None', 'feedback': 'Neutral'}","{'staff_interaction': 'List new myself brother not lawyer safe.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Some Details Public'}"
Eric Parsons,60,South Frankland,['Fish'],Gluten Free,"{'restaurant_name': 'Lawrence LLC', 'meal_type': 'Drink', 'menu_selection': 'White bed rule hospital American week.', 'special_requests': 'Fish', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'All article although religious eat maybe enough.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Most Details Public'}"
Anna Mcgee,33,North Adrian,[],Low Fat,"{'restaurant_name': 'Chang, Griffith and Smith', 'meal_type': 'Drink', 'menu_selection': 'Anything represent character thing these different.', 'special_requests': 'None', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Toward person type rate today.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Some Details Public'}"
Linda Lee,42,Nicoleview,"['Fish', 'Wheat']",Vegan,"{'restaurant_name': 'Shaw Inc', 'meal_type': 'Dessert', 'menu_selection': 'Generation option real.', 'special_requests': 'Fish, Wheat', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Direction cultural important certainly.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Most Details Public'}"
Kristina Hill,30,Port Meganhaven,"['Peanuts', 'Milk']",Halal,"{'restaurant_name': 'Castillo-Hale', 'meal_type': 'Dessert', 'menu_selection': 'Law during their.', 'special_requests': 'Peanuts, Milk', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Watch agree city letter.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Some Details Public'}"
John Hernandez,32,Joneston,['Fish'],Keto,"{'restaurant_name': 'Cunningham PLC', 'meal_type': 'Main Course', 'menu_selection': 'Fire entire official.', 'special_requests': 'Fish', 'feedback': 'Satisfied'}","{'staff_interaction': 'Alone capital story.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Profile Public'}"
Donald Landry,38,Carneyside,"['Fish', 'Soy', 'Tree nuts']",Vegan,"{'restaurant_name': 'Franklin-Carter', 'meal_type': 'Main Course', 'menu_selection': 'Social sit though other note son.', 'special_requests': 'Fish, Soy, Tree nuts', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Customer car half task feel.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Profile Private'}"
Alan Mcneil,19,Brennanland,"['Milk', 'Shellfish', 'Tree nuts']",Keto,"{'restaurant_name': 'Gardner Ltd', 'meal_type': 'Starter', 'menu_selection': 'Out it worker them message argue moment.', 'special_requests': 'Milk, Shellfish, Tree nuts', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Cut theory describe important baby himself hour name.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Some Details Public'}"
Daniel Davis,36,Scottland,"['Fish', 'Tree nuts', 'Soy']",Kosher,"{'restaurant_name': 'Rivera, Norris and Diaz', 'meal_type': 'Drink', 'menu_selection': 'Discussion service form summer.', 'special_requests': 'Fish, Tree nuts, Soy', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Already suddenly experience office group scientist anyone.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Profile Public'}"
Kelsey Clements,30,West Toddton,[],Keto,"{'restaurant_name': 'Fleming LLC', 'meal_type': 'Starter', 'menu_selection': 'Unit door theory citizen back during.', 'special_requests': 'None', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Fine line pattern his series so.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Some Details Public'}"
John Smith,24,Crystalfurt,[],Vegan,"{'restaurant_name': 'Levy-Nelson', 'meal_type': 'Main Course', 'menu_selection': 'Western more wife travel rest blue plant.', 'special_requests': 'None', 'feedback': 'Satisfied'}","{'staff_interaction': 'Customer treatment medical although necessary seem.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Most Details Public'}"
George Mcdonald,52,East Alyssaburgh,[],Gluten Free,"{'restaurant_name': 'Marsh LLC', 'meal_type': 'Starter', 'menu_selection': 'Perform many short camera along even easy.', 'special_requests': 'None', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Rise indeed mission.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 5}, 'privacy_setting': 'Most Details Public'}"
Patrick Webster,19,Petertown,"['Milk', 'Shellfish']",Vegetarian,"{'restaurant_name': 'Shepherd Inc', 'meal_type': 'Drink', 'menu_selection': 'You pressure body agency.', 'special_requests': 'Milk, Shellfish', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Follow agent behavior customer than.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Most Details Public'}"
John Johnson,59,North Victor,[],Low Fat,"{'restaurant_name': 'Cook Ltd', 'meal_type': 'Drink', 'menu_selection': 'Way imagine think off model.', 'special_requests': 'None', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Institution vote pretty front film happy image.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Profile Public'}"
Matthew Salazar,24,Valenciafort,[],Keto,"{'restaurant_name': 'Moyer-Lewis', 'meal_type': 'Main Course', 'menu_selection': 'Continue reflect occur than when.', 'special_requests': 'None', 'feedback': 'Neutral'}","{'staff_interaction': 'People field ask claim argue art.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Some Details Public'}"
William Wilson,34,Port Spencer,"['Fish', 'Shellfish', 'Tree nuts']",Vegan,"{'restaurant_name': 'Schultz-Davis', 'meal_type': 'Drink', 'menu_selection': 'Others assume cause particular why offer soldier.', 'special_requests': 'Fish, Shellfish, Tree nuts', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Ok prove address nothing.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Most Details Public'}"
Hannah Patrick,59,Marvinbury,[],Halal,"{'restaurant_name': 'Crosby-Gallegos', 'meal_type': 'Main Course', 'menu_selection': 'Would adult out think upon window.', 'special_requests': 'None', 'feedback': 'Neutral'}","{'staff_interaction': 'Camera term both image.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Profile Private'}"
Carrie Banks,20,South Adriana,"['Soy', 'Peanuts', 'Tree nuts']",Kosher,"{'restaurant_name': 'Choi, Castro and Woods', 'meal_type': 'Starter', 'menu_selection': 'Officer continue building message say.', 'special_requests': 'Soy, Peanuts, Tree nuts', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Purpose offer campaign feel.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Some Details Public'}"
Mr. Steven Lester DDS,47,Williamsside,"['Egg', 'Soy', 'Peanuts']",Kosher,"{'restaurant_name': 'Long, Johnson and Figueroa', 'meal_type': 'Main Course', 'menu_selection': 'On have over degree reason buy.', 'special_requests': 'Egg, Soy, Peanuts', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Quality sort Congress wall offer short.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Most Details Public'}"
Dr. Donna Mathews,56,Mooremouth,"['Tree nuts', 'Milk', 'Peanuts']",Gluten Free,"{'restaurant_name': 'Best-Watson', 'meal_type': 'Starter', 'menu_selection': 'Case agent white role task strategy piece.', 'special_requests': 'Tree nuts, Milk, Peanuts', 'feedback': 'Satisfied'}","{'staff_interaction': 'Beautiful sound respond cultural culture none.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Some Details Public'}"
Brian Wilson,22,Deannastad,[],Low Fat,"{'restaurant_name': 'Vincent Group', 'meal_type': 'Dessert', 'menu_selection': 'If security available address challenge.', 'special_requests': 'None', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Wife road collection share stop.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Michael Garcia,58,Bishopbury,"['Egg', 'Tree nuts', 'Soy']",Keto,"{'restaurant_name': 'Perez Inc', 'meal_type': 'Dessert', 'menu_selection': 'Political people Democrat pattern situation issue.', 'special_requests': 'Egg, Tree nuts, Soy', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Discover compare garden billion pay machine turn.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Most Details Public'}"
Keith Cervantes,20,South Diane,['Peanuts'],Halal,"{'restaurant_name': 'Ford, Gray and Rush', 'meal_type': 'Main Course', 'menu_selection': 'Wall pick technology despite dark dark.', 'special_requests': 'Peanuts', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Enter standard small traditional.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 5}, 'privacy_setting': 'Profile Private'}"
Aaron Singh,44,Port Mark,[],Gluten Free,"{'restaurant_name': 'Brown, Collins and Gamble', 'meal_type': 'Drink', 'menu_selection': 'We along simply base check however most.', 'special_requests': 'None', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Think film idea mission.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Profile Public'}"
Tracy Jackson,19,Theodorehaven,[],Gluten Free,"{'restaurant_name': 'Obrien, Chandler and Mays', 'meal_type': 'Main Course', 'menu_selection': 'Figure light difficult benefit.', 'special_requests': 'None', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Effect anything among side much.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Profile Private'}"
Jeffery Randall,39,Lake Gabriella,"['Egg', 'Peanuts']",Vegan,"{'restaurant_name': 'Lynn, Martin and Harmon', 'meal_type': 'Main Course', 'menu_selection': 'Response wrong I nation way city.', 'special_requests': 'Egg, Peanuts', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Court middle ability various black air usually organization.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Profile Private'}"
Rachel Anderson,45,Matthewfurt,"['Peanuts', 'Shellfish', 'Soy']",Gluten Free,"{'restaurant_name': 'Barnes, Thompson and Mercado', 'meal_type': 'Dessert', 'menu_selection': 'Health chance education animal tax animal.', 'special_requests': 'Peanuts, Shellfish, Soy', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Add American later yet top law fight.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Profile Public'}"
David Lee,44,Lake Chad,['Wheat'],Halal,"{'restaurant_name': 'Bush-Soto', 'meal_type': 'Starter', 'menu_selection': 'Difference drive glass sign.', 'special_requests': 'Wheat', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Third factor region cause hour painting.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Some Details Public'}"
Kristin King,34,Lake George,"['Peanuts', 'Milk', 'Soy']",Vegetarian,"{'restaurant_name': 'Miller-Johnson', 'meal_type': 'Starter', 'menu_selection': 'Seek party during Republican whose focus green.', 'special_requests': 'Peanuts, Milk, Soy', 'feedback': 'Satisfied'}","{'staff_interaction': 'Note question popular here mind only.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Most Details Public'}"
Daniel Li,34,Weaverview,[],Halal,"{'restaurant_name': 'Pierce, Hess and Sandoval', 'meal_type': 'Dessert', 'menu_selection': 'Trade ago suffer degree present music medical health.', 'special_requests': 'None', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Father marriage magazine director across.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Most Details Public'}"
Melissa Levy,40,West Alexismouth,"['Wheat', 'Peanuts']",Vegan,"{'restaurant_name': 'Stafford LLC', 'meal_type': 'Dessert', 'menu_selection': 'Meeting just community many attention.', 'special_requests': 'Wheat, Peanuts', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Before staff main short can property.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Profile Public'}"
Jessica Hansen,46,Huangchester,['Soy'],Vegan,"{'restaurant_name': 'Silva, Green and Morgan', 'meal_type': 'Drink', 'menu_selection': 'Kind question note.', 'special_requests': 'Soy', 'feedback': 'Satisfied'}","{'staff_interaction': 'Recognize wife professor continue place size hand outside.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 5}, 'privacy_setting': 'Profile Public'}"
Melissa Reynolds,57,New Leeville,['Shellfish'],Gluten Free,"{'restaurant_name': 'Gutierrez Group', 'meal_type': 'Dessert', 'menu_selection': 'Seem drug these figure view care but.', 'special_requests': 'Shellfish', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Up fill each trouble.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Most Details Public'}"
Danielle Clark,38,Territon,['Shellfish'],Keto,"{'restaurant_name': 'Thomas LLC', 'meal_type': 'Dessert', 'menu_selection': 'Provide line draw answer.', 'special_requests': 'Shellfish', 'feedback': 'Neutral'}","{'staff_interaction': 'Require myself however meeting ever company.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Some Details Public'}"
Raymond Smith,50,West Robertberg,['Milk'],Low Fat,"{'restaurant_name': 'Oliver LLC', 'meal_type': 'Starter', 'menu_selection': 'Both report deal paper many.', 'special_requests': 'Milk', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Throw protect part pay parent message should pass.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Most Details Public'}"
Jennifer Hall,23,West Jenniferberg,"['Peanuts', 'Milk', 'Egg']",Vegetarian,"{'restaurant_name': 'Stevenson Inc', 'meal_type': 'Main Course', 'menu_selection': 'Ability affect number they anyone environment include.', 'special_requests': 'Peanuts, Milk, Egg', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Majority force man can father.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Some Details Public'}"
Anna Duncan,37,Stephenside,"['Wheat', 'Fish']",Vegetarian,"{'restaurant_name': 'Hudson, Benson and Moody', 'meal_type': 'Starter', 'menu_selection': 'Owner surface seek behavior easy matter develop.', 'special_requests': 'Wheat, Fish', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Still do both rich high little individual news.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
Janet Hicks,29,East Laurie,['Soy'],Keto,"{'restaurant_name': 'Nash, Mendoza and Ashley', 'meal_type': 'Main Course', 'menu_selection': 'Hope sometimes production environment his sell prevent.', 'special_requests': 'Soy', 'feedback': 'Satisfied'}","{'staff_interaction': 'Whose indeed him.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
Andrew Taylor,25,Lake Megantown,['Milk'],Halal,"{'restaurant_name': 'Contreras, Washington and Freeman', 'meal_type': 'Drink', 'menu_selection': 'South window test common yet stay.', 'special_requests': 'Milk', 'feedback': 'Neutral'}","{'staff_interaction': 'Know light able measure enter.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Profile Private'}"
Pamela Guzman,45,Soniahaven,[],Kosher,"{'restaurant_name': 'Ferguson, Stevens and Owens', 'meal_type': 'Dessert', 'menu_selection': 'Many player full wide reflect group sure pretty.', 'special_requests': 'None', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'He family water author out.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Some Details Public'}"
Susan Melton,32,Evelynshire,"['Milk', 'Egg']",Keto,"{'restaurant_name': 'Lopez, Smith and Salinas', 'meal_type': 'Main Course', 'menu_selection': 'Sing party policy.', 'special_requests': 'Milk, Egg', 'feedback': 'Neutral'}","{'staff_interaction': 'Several figure race five owner.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Profile Public'}"
Jason Webster,53,Cooperland,['Soy'],Vegan,"{'restaurant_name': 'Davenport, Crawford and Lawson', 'meal_type': 'Main Course', 'menu_selection': 'Song job save.', 'special_requests': 'Soy', 'feedback': 'Satisfied'}","{'staff_interaction': 'Recognize on health care especially strategy account person.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 5}, 'privacy_setting': 'Most Details Public'}"
Melissa Sullivan,47,Martinezshire,['Egg'],Gluten Free,"{'restaurant_name': 'Becker-Palmer', 'meal_type': 'Main Course', 'menu_selection': 'Experience film suddenly official ever building.', 'special_requests': 'Egg', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Evidence brother operation happen old technology deal.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Some Details Public'}"
Jonathan Santos,18,Lake Lindashire,"['Milk', 'Fish', 'Soy']",Gluten Free,"{'restaurant_name': 'Miller Group', 'meal_type': 'Dessert', 'menu_selection': 'Pretty threat space maintain fill look song.', 'special_requests': 'Milk, Fish, Soy', 'feedback': 'Satisfied'}","{'staff_interaction': 'Conference avoid actually change admit stop positive.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 5}, 'privacy_setting': 'Profile Private'}"
Thomas Hoffman,19,Darrenland,"['Tree nuts', 'Soy']",Kosher,"{'restaurant_name': 'Edwards-Holt', 'meal_type': 'Drink', 'menu_selection': 'Region know investment middle dinner attorney town.', 'special_requests': 'Tree nuts, Soy', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Thank actually call sign.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Profile Private'}"
Shelly York,38,South Jessicatown,"['Fish', 'Tree nuts', 'Wheat']",Vegetarian,"{'restaurant_name': 'Lopez, Ponce and Fowler', 'meal_type': 'Starter', 'menu_selection': 'Bad half help my.', 'special_requests': 'Fish, Tree nuts, Wheat', 'feedback': 'Neutral'}","{'staff_interaction': 'Value parent image these his.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Most Details Public'}"
Zachary Martinez,58,Lake Sarahbury,"['Peanuts', 'Egg', 'Wheat']",Vegetarian,"{'restaurant_name': 'Hardy, Hensley and Miller', 'meal_type': 'Dessert', 'menu_selection': 'Property pressure degree develop.', 'special_requests': 'Peanuts, Egg, Wheat', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Participant between under human forget job policy manager.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Profile Private'}"
